"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	1.0269839	1.1355218	0.9503940	0.8114552	0.9722602	0.5521379	0.8091635	0.4271771	0.5937813	0.6741591
50	0.5029072	0.6958361	1.0502614	0.8641265	0.5358816	0.3326847	0.7617399	0.3989577	0.6309863	0.7105281
100	0.3219831	0.7840938	0.9771742	1.0963306	0.4680648	0.3274426	0.6207947	0.4543020	0.5259990	0.6407008
150	0.2480839	0.5201856	1.1397820	0.9993812	0.4603874	0.5252758	0.6534621	0.3293669	0.3686919	0.4672688
200	0.1595334	0.6518569	1.2518739	0.8727432	0.4525327	0.4994817	0.5576595	0.5795791	0.3527988	0.3351903
250	0.2223432	0.6237990	1.3988007	0.8395450	0.5218470	0.5630498	0.5071677	0.6797946	0.3616337	0.2695356
300	0.1805457	0.7554662	1.0179140	1.0342570	0.3931257	0.5648677	0.6408076	0.9563989	0.1755684	0.3168867
350	0.2255360	0.7703334	0.9037635	0.9982413	0.5127191	0.7295551	0.6082393	0.7296201	0.1986338	0.4389542
400	0.2173787	0.6787848	0.8354255	1.1296683	0.3195337	0.7192914	0.5973500	0.7262489	0.1537740	0.4589274
450	0.2037975	0.7701923	0.8938493	1.0115802	0.3350241	0.5904927	0.6302944	0.7662151	0.1155177	0.4947514
500	0.2209843	0.6420871	1.2230176	0.9726354	0.3163382	0.7300568	0.5118716	0.7319790	0.2029825	0.4125094
550	0.8355300	1.0222996	1.2054732	0.9343647	0.6795804	0.7978252	0.7414150	0.6599978	0.3095936	0.4832793
600	1.0775002	0.9006473	1.1504736	0.9306386	0.7432546	0.5854791	0.8226330	0.5940259	0.3907028	0.6325747
650	1.2325187	1.0149908	1.0519924	0.7932460	0.8192199	0.4243943	0.7528271	0.4830148	0.5170984	0.6507776
700	1.0192363	0.9643854	0.9373981	0.8337685	0.7891680	0.4135918	0.9128266	0.4884900	0.4682788	0.6365877
750	0.9542270	1.0468460	0.9478467	0.7874322	0.8039937	0.6038172	1.1594614	0.4414355	0.5462494	0.6184031
800	1.0583677	1.1538326	0.8742068	0.6934147	0.7522405	0.5025644	1.1028947	0.3831853	0.5477030	0.7252163
850	1.0633214	1.0423875	1.1875000	0.8691264	0.6951633	0.4503792	0.9849508	0.4280793	0.5683743	0.6387102
900	1.0371430	0.8406821	1.0393492	0.8578486	0.7393712	0.5012689	1.0161033	0.3675491	0.5338608	0.6926246
950	0.8962250	1.1481703	0.9968147	0.8925442	0.7341091	0.4529932	0.9604251	0.3046217	0.5293943	0.9064183
1000	0.8388178	0.9995246	0.9256641	0.7610058	0.8311573	0.4122792	1.1618023	0.3586641	0.5060756	0.8123244
