"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	1.0263897	0.9833340	0.9987884	0.7741642	0.9492629	0.4912336	0.9755191	0.3789440	0.6650073	0.7226332
50	0.4139588	0.7374951	0.9383243	0.8745920	0.4866209	0.3524959	0.7158582	0.3508210	0.6230653	0.7226119
100	0.2776938	0.6510042	0.9542200	0.9407686	0.4582982	0.4048192	0.6067905	0.3885252	0.5133803	0.5286615
150	0.2807945	0.6328286	1.0492089	0.9011915	0.4903711	0.4361296	0.5946788	0.4361565	0.3620333	0.4551651
200	0.1989721	0.6223534	1.1189163	0.9132590	0.4971141	0.5344648	0.5689606	0.5800432	0.2967394	0.3851249
250	0.1869132	0.6155009	1.0187567	0.9467920	0.4097371	0.5591615	0.5649483	0.7506166	0.2990461	0.3198597
300	0.1894860	0.6021827	0.9972152	0.9672255	0.3758354	0.5678869	0.5592852	0.8758984	0.2214133	0.3631025
350	0.2287296	0.6891540	0.9572970	1.0145239	0.4115827	0.6024801	0.6119431	0.8568395	0.2020822	0.4014165
400	0.2132191	0.6284785	0.9913665	1.0341329	0.3606264	0.6195735	0.5615702	0.8335373	0.2311472	0.3967037
450	0.2321251	0.7319833	0.9942039	0.9532887	0.3612746	0.6324677	0.5562453	0.8016563	0.1740688	0.4516159
500	0.2488413	0.6490741	1.1202618	0.9234630	0.3008724	0.6536139	0.5503010	0.7399397	0.2089881	0.4308997
550	0.7869994	0.9204516	1.0313112	0.8806118	0.6630391	0.6440900	0.7861114	0.6426790	0.2957775	0.4822356
600	0.9765924	0.8979395	1.0758550	0.9287330	0.7293711	0.6016176	0.8973015	0.5601201	0.4158340	0.5859518
650	1.0396566	0.9653774	1.0613061	0.8454235	0.7772432	0.5362437	0.8413807	0.4703751	0.5335331	0.6126617
700	0.9992133	1.0159426	1.0459105	0.8802081	0.8608173	0.4773426	0.9557543	0.4602824	0.4882145	0.7396223
750	1.0556174	1.0151697	1.0006597	0.7860680	0.8119784	0.4951388	1.0403892	0.4050882	0.5446763	0.6580793
800	1.0018945	1.0589700	1.0018897	0.7759692	0.8413664	0.5323980	0.9560437	0.4010926	0.5771984	0.6517477
850	0.8897622	1.1435607	1.0748871	0.7989955	0.7806642	0.4895527	0.9786709	0.3945956	0.5761294	0.6284531
900	0.8888451	0.9434232	1.0103131	0.7952704	0.7117912	0.5663265	1.0307051	0.4290445	0.5749245	0.7122144
950	0.9246277	1.0452405	0.9808620	0.8257741	0.7940998	0.5130485	1.0513698	0.3229721	0.6191078	0.7647748
1000	0.9506551	0.9656612	0.9084679	0.7608075	0.8635397	0.4280799	1.0830829	0.3284317	0.5505670	0.7924908
