"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9787463	0.8923783	1.0341802	0.8393595	0.9293509	0.4261287	1.0816931	0.3597766	0.6786656	0.7251333
50	0.5634453	0.8962290	1.0464906	0.8820738	0.5666342	0.4290965	0.9450507	0.3128063	0.6578013	0.7199468
100	0.3961477	0.7857017	1.0117273	0.8208338	0.5013219	0.3919641	0.7099380	0.3763397	0.6297865	0.7036626
150	0.3773911	0.6987489	0.9506721	0.9114137	0.4939852	0.4462676	0.6751459	0.3937833	0.5026536	0.5316058
200	0.1979479	0.6352828	1.0309248	0.8991165	0.4751289	0.4065367	0.6709044	0.5396489	0.3236800	0.4267200
250	0.1954076	0.6187189	0.9930484	0.9096471	0.4600892	0.5005940	0.6040699	0.6977693	0.3186215	0.3714178
300	0.2070555	0.6251582	0.9716981	1.0000939	0.3933483	0.5439141	0.5052198	0.7473883	0.2294389	0.3563303
350	0.2335650	0.6231545	0.9820622	1.0237712	0.3916285	0.5480668	0.4996964	0.8232941	0.2098505	0.3719774
400	0.2036895	0.7019940	0.9773402	1.1033555	0.3640841	0.5534506	0.5570077	0.7775259	0.2009186	0.3449368
450	0.1875798	0.7083183	1.0341450	1.1289223	0.3592296	0.5304898	0.5957920	0.8756921	0.2149017	0.4070885
500	0.2760269	0.6937996	1.0118841	0.9648537	0.3730526	0.6895182	0.6469096	0.8563265	0.2366906	0.3868033
550	0.6160496	0.8647099	1.0545483	0.8574457	0.5275890	0.6016417	0.7100841	0.7411769	0.2551675	0.4609380
600	0.8803748	0.9103438	1.0775174	0.9220483	0.6964789	0.6276989	0.7567247	0.6190081	0.3662962	0.5158454
650	1.0241611	0.9777236	1.0542248	0.7879064	0.7733972	0.5473518	0.8898775	0.5017123	0.4752027	0.6354319
700	1.0714536	1.0464726	1.0696437	0.7977345	0.8252410	0.4748443	0.9529280	0.5013895	0.4780613	0.6577299
750	1.0305220	0.9501225	1.0579659	0.8369798	0.9176313	0.4852695	0.9268249	0.4698894	0.5897172	0.6100596
800	1.0702259	1.0053129	1.0454418	0.8193847	0.8728981	0.5678811	1.0153279	0.4003227	0.4552961	0.6183938
850	0.9914779	1.0275727	1.0781331	0.7886231	0.7637966	0.5004664	1.0519635	0.4131316	0.5457353	0.6511870
900	0.8769464	1.0039003	0.9781949	0.7586467	0.7469880	0.4923049	1.0450252	0.4292515	0.6016546	0.7365648
950	0.9276648	1.0207421	1.0158529	0.8915241	0.7160834	0.4970778	0.9143208	0.3678107	0.5532380	0.7450173
1000	0.8376012	1.0300831	0.9707685	0.8807122	0.8561413	0.4960593	1.0084860	0.3555048	0.5468701	0.6765137
