"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9057007	0.9912951	1.0034040	0.9244734	0.8798233	0.3777183	1.1786615	0.3356079	0.7473406	0.7681413
50	0.5466440	0.9342003	1.1693815	0.9358385	0.5549225	0.4215147	0.8830094	0.3759346	0.6408155	0.7330319
100	0.3347382	0.8913773	1.1257024	0.8772568	0.5938386	0.3308625	0.7465405	0.3344781	0.6707544	0.6840147
150	0.4512069	0.6403179	0.9514431	1.0103551	0.5661141	0.5983452	0.7235049	0.4587438	0.5568740	0.4995772
200	0.1857829	0.4876301	1.2178011	0.9427179	0.5010105	0.4858943	0.6918270	0.6526943	0.3823605	0.4480765
250	0.2463880	0.6156234	1.0298726	0.7731324	0.4414655	0.4326815	0.7912271	0.7216458	0.3345152	0.3803508
300	0.2151855	0.5223892	0.9598501	0.9904044	0.3330791	0.4979344	0.5234095	0.6607102	0.2567125	0.3712172
350	0.2065720	0.7265750	0.9069794	1.0886476	0.4763900	0.5275533	0.6717010	0.8108163	0.3522270	0.3357471
400	0.2158413	0.5536109	0.9566865	0.9111403	0.3181244	0.4932736	0.5423767	0.6552861	0.2241257	0.3936568
450	0.1848388	0.8429994	0.8846158	1.0931769	0.4086809	0.4836622	0.6472853	0.8890164	0.1556082	0.3608118
500	0.2314609	0.7452485	0.9836999	0.8256111	0.3445312	0.5508726	0.7325071	0.9049338	0.2286779	0.4151116
550	0.5546358	0.8323146	1.1801330	1.0019004	0.6610035	0.5646113	0.7053198	0.8229862	0.2985161	0.5299113
600	0.8952082	0.8868444	1.1158782	0.9009135	0.7214984	0.6161639	0.9048784	0.6569161	0.3633517	0.5069885
650	1.1264095	1.0198737	1.0460952	0.8154843	0.7867089	0.4796248	0.8696583	0.5344900	0.3982487	0.8054985
700	1.2655608	0.9309746	1.0694317	0.7325139	0.8687381	0.3944295	1.0168120	0.5126935	0.3895012	0.6715774
750	1.0906792	0.9363356	1.1355042	0.9578994	0.8870714	0.5831945	0.9218698	0.4141711	0.6392499	0.5295899
800	1.1999441	0.9295368	1.0300032	0.8897773	0.8566805	0.4823498	1.0215383	0.5094100	0.4425156	0.6523215
850	1.0447157	0.8601682	0.9905446	0.7009184	0.7165324	0.4462558	1.1957727	0.3846826	0.5179281	0.8224244
900	0.8637087	1.0019972	0.9495332	0.8428596	0.7112340	0.4641836	1.0410926	0.4290675	0.6234436	0.6479022
950	0.8962771	1.0238955	0.8914178	0.8438266	0.6675997	0.4181366	0.8653989	0.2966173	0.4740096	0.7436611
1000	0.8862669	1.1442135	0.9492437	0.9323377	0.7774882	0.5232681	1.1273754	0.3323512	0.5933555	0.6811447
