"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0888047	1.1648324	0.9681392	0.9526825	0.3494055	0.9707783	0.4122822	0.2437047	1.0282039	0.9043752
50	0.1544149	0.9324314	0.5580612	0.8305738	0.2948619	1.0389461	0.5135608	0.2655919	1.1651262	0.9301854
100	0.3194219	0.8741333	0.3944952	0.8651471	0.2615621	0.9982493	0.5966284	0.4092467	0.9293910	0.9021065
150	0.3159764	1.0333232	0.2402749	0.8456458	0.1662447	0.8538997	0.4641113	0.6363042	1.0010576	0.9208358
200	0.3062853	0.8434398	0.2315595	0.7607509	0.1880522	0.6833352	0.5105965	0.5677308	0.9272942	1.0544061
250	0.3566915	0.8446960	0.1285073	0.9182081	0.1315288	0.6479722	0.6315870	0.5220962	0.9590763	0.9605172
300	0.4027497	0.9304382	0.2565815	0.8051550	0.1319223	0.5597645	0.7000924	0.6635625	1.0665140	0.8879964
350	0.3231146	0.9512426	0.1553356	0.7046817	0.0849528	0.5746528	0.5837230	0.6968142	0.9468377	0.8406738
400	0.4171961	1.1412469	0.2233019	0.8787313	0.0840032	0.4842900	0.6150196	0.7756928	1.0289271	1.0798251
450	0.3352643	0.9985893	0.0929019	0.9693593	0.0812331	0.5723478	0.6300517	0.7723113	0.8844657	0.9699506
500	0.3935759	1.1726347	0.2049850	0.9479801	0.0707264	0.5996738	0.6831648	0.9058826	0.9557141	1.1019397
550	0.3109341	1.0212099	0.5974373	0.8908993	0.0972232	0.6552715	0.6777346	0.6035555	0.9261247	0.8555351
600	0.3558355	0.9242094	0.8684826	1.0662391	0.1745529	0.5073874	0.6676294	0.5510347	0.8383641	1.0848435
650	0.1743200	1.0675371	0.8710700	0.8444108	0.1898038	0.5831097	0.5817179	0.5037505	0.9316325	1.0681781
700	0.1781491	1.1018126	1.0525229	0.7618722	0.2085726	0.7489079	0.4845111	0.2491423	0.9555872	0.9120737
750	0.1210926	1.0700320	1.0863980	1.0254726	0.3627685	0.9443673	0.5168971	0.3620311	0.9005964	0.9359455
800	0.0834590	1.0024165	0.8660976	1.1197745	0.3644625	0.9016335	0.5597785	0.3345621	0.9819390	0.8576248
850	0.1990754	1.0308620	0.9324551	1.0221079	0.2884372	1.0407846	0.5256646	0.2696746	0.9422902	0.8824852
900	0.1440337	1.0020676	1.0138248	1.0804125	0.3015895	0.8939813	0.4083892	0.3308171	1.2739981	1.0462298
950	0.1428464	1.0544599	1.0931695	0.9821733	0.3301642	0.9613247	0.5374308	0.3827678	1.1455661	1.0894991
1000	0.1715903	1.0214398	1.0355999	0.9272949	0.2259970	0.9284594	0.4334968	0.2979785	0.9749460	0.8096344
