"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1205851	1.0438943	1.0753982	1.0010144	0.3070230	0.9838480	0.4394872	0.2584956	1.0029577	0.9156238
50	0.1291379	0.9772166	0.5586064	0.8233766	0.3337146	0.9599855	0.5331063	0.2958924	1.0062219	0.9852834
100	0.2344883	0.9866390	0.3214770	0.8300337	0.2596210	0.9442459	0.5590205	0.3913007	0.9509018	0.9216237
150	0.2715086	1.0104833	0.2606424	0.8420085	0.2001886	0.8816749	0.5365379	0.4820875	1.0276455	0.9200890
200	0.3501068	0.8619433	0.2087380	0.8460297	0.1815640	0.8099368	0.5389154	0.7106404	0.9353632	0.9598333
250	0.3873765	0.9151186	0.1736977	0.7958254	0.1366696	0.7062108	0.5475556	0.6922036	0.9635450	0.8880301
300	0.4265386	1.1055882	0.2088704	0.7937420	0.0925567	0.6063373	0.6086494	0.7088622	1.0116162	1.0067224
350	0.3566432	1.0038396	0.1875798	0.7805402	0.0766061	0.5358909	0.6348701	0.7505432	0.9537877	0.9516508
400	0.4314794	1.0594557	0.1499723	0.8246439	0.0859331	0.4835818	0.6147157	0.7857928	0.9411079	0.9977607
450	0.3696292	0.9095439	0.1495236	0.8539751	0.0863178	0.4712225	0.6936812	0.8513912	0.9320903	1.0684232
500	0.3895523	0.9946043	0.1549724	0.8378887	0.0881525	0.5251333	0.6635570	0.8821852	0.9802719	1.0590417
550	0.3399089	1.0003182	0.5722805	0.9171195	0.1047225	0.5728033	0.6694055	0.7068166	0.9352816	0.9847234
600	0.3160183	0.9648820	0.7824528	1.0185124	0.1945935	0.5360169	0.6144261	0.5303478	0.8955994	1.0568244
650	0.1751566	1.0206021	0.9157898	0.9656613	0.2216266	0.6631598	0.5564677	0.4154863	0.9472567	0.9757295
700	0.1718391	1.0489182	0.9702917	0.9443539	0.2705466	0.8036903	0.4741242	0.3524364	0.9774454	1.0239070
750	0.1253741	1.0006406	0.9679912	1.0497196	0.2720168	0.9255662	0.4771853	0.3854591	0.9163246	1.0260885
800	0.1131096	1.0314533	0.9654742	1.0214198	0.3534541	0.9401454	0.5758974	0.3111437	0.9792308	0.9307259
850	0.1566379	0.9936824	0.9827872	1.0684236	0.3157126	0.9954683	0.4978405	0.3063142	0.9755745	0.9214799
900	0.1424468	0.9780144	0.9736000	1.0380423	0.3202657	0.9092835	0.4718623	0.3204790	0.9947842	0.9560636
950	0.1804228	0.9939718	1.0372723	1.1044575	0.3114263	0.9435183	0.5128782	0.3607934	1.0859156	0.9277893
1000	0.1349410	1.0136204	1.0080137	0.9908444	0.2411127	0.9492552	0.5021830	0.3152135	1.0669194	0.9477833
