"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1441710	1.0502513	1.1304424	1.0083044	0.3159022	0.9461985	0.4639315	0.3080437	0.9760259	0.8825976
50	0.1146583	0.9891665	0.9719587	0.9757621	0.2772742	0.9931467	0.4676578	0.3245087	1.0693607	0.9772890
100	0.1893209	0.8681858	0.5436594	0.8342609	0.2686780	0.8611160	0.5055772	0.2831651	1.0198055	0.9190200
150	0.2090597	0.9272089	0.3694194	0.8575675	0.2144280	0.9256840	0.5231058	0.4567530	0.9602431	0.8687232
200	0.2973833	0.8696262	0.2527928	0.8129063	0.1933241	0.9344016	0.5409869	0.6125068	0.9399391	0.9966298
250	0.3225898	0.9576217	0.1903122	0.8624673	0.1383627	0.7523151	0.5348885	0.6606289	0.9413322	1.0114627
300	0.3885553	1.0391630	0.2088993	0.7980174	0.1134774	0.6159107	0.5872059	0.6389593	0.9736731	1.0151998
350	0.4238991	1.0779473	0.1666053	0.8238215	0.1079032	0.5691119	0.6502554	0.6883922	1.0742494	1.0003471
400	0.3942996	0.9774377	0.1643381	0.7631870	0.0899289	0.4429402	0.6207766	0.7149846	0.9783141	0.8918004
450	0.4379213	1.0141402	0.1599184	0.7843173	0.0578609	0.4724929	0.6919571	0.7872551	0.9498092	0.9970914
500	0.4341981	0.9915630	0.1725868	0.7933692	0.0796035	0.4974411	0.6410022	0.8221520	0.8723940	1.0419336
550	0.3971054	0.9117350	0.3442839	0.8726326	0.0780991	0.5366183	0.5841618	0.7540349	0.9064443	1.0339800
600	0.3557223	0.9150426	0.6315679	0.9421826	0.1638939	0.5219192	0.5897006	0.6919763	0.9113132	1.0050365
650	0.2718501	0.9468549	0.7841870	0.9942554	0.2493313	0.6280755	0.5646385	0.5582500	0.9326772	0.9901670
700	0.2181808	0.9348893	0.8713081	0.9385679	0.2562798	0.7500114	0.5300231	0.4318665	0.9341319	0.9197159
750	0.1717366	1.0262241	0.9093399	1.0245169	0.2673399	0.9174919	0.5059971	0.3187679	0.9016831	1.0669567
800	0.1686729	1.0219520	0.9654550	1.0512225	0.2669328	0.9777389	0.4679016	0.3417291	0.9109121	1.0048362
850	0.1507067	1.0314802	0.9220173	1.1314783	0.3114750	0.9957064	0.5338769	0.3070482	0.9123457	0.9119189
900	0.1591977	1.0286378	0.9507267	1.0007458	0.3440765	0.9611519	0.5660216	0.3215748	0.9684532	0.9612087
950	0.1643774	1.0419575	0.9239218	1.1016908	0.3417697	0.9402359	0.4986772	0.3518934	1.0543940	0.9820507
1000	0.1311786	1.0687698	1.0269977	1.0115461	0.2820297	0.9520346	0.5906287	0.4151482	1.0858883	1.0102054
