"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9804967	1.0000000	1.0000000	1.0000000	0.8071672	0.9970049	0.2027989	0.0676168	0.8354350	0.1666449
50	0.9805025	0.9659907	1.0000000	1.0000000	0.8073862	0.9978100	0.2033841	0.0675980	0.9529689	0.1666104
100	0.9805171	0.9556996	1.0000000	1.0000000	0.8078597	0.9980614	0.2049266	0.0675590	0.9812084	0.1665658
150	0.9805294	0.9525856	1.0000000	1.0000000	0.8082936	0.9981399	0.2062192	0.0675312	0.9879937	0.1664975
200	0.9805365	0.9516433	1.0000000	1.0000000	0.8085836	0.9981645	0.2069574	0.0675168	0.9896242	0.1664262
250	0.9805400	0.9513582	1.0000000	1.0000000	0.8087523	0.9981722	0.2073030	0.0675104	0.9900161	0.1663696
300	0.9805415	0.9512719	1.0000000	1.0000000	0.8088444	0.9981746	0.2074447	0.0675077	0.9901104	0.1663314
350	0.9805421	0.9512458	1.0000000	1.0000000	0.8088933	0.9981754	0.2074965	0.0675067	0.9901330	0.1663083
400	0.9805424	0.9512379	1.0000000	1.0000000	0.8089189	0.9981757	0.2075131	0.0675063	0.9901385	0.1662951
450	0.9805425	0.9512355	1.0000000	1.0000000	0.8089323	0.9981757	0.2075173	0.0675061	0.9901398	0.1662879
500	0.9805425	0.9512348	1.0000000	1.0000000	0.8089393	0.9981758	0.2075177	0.0675061	0.9901401	0.1662840
550	0.9805355	0.9852439	1.0000000	1.0000000	0.8087915	0.9973709	0.2068571	0.0675244	0.8726216	0.1662844
600	0.9805198	0.9955349	1.0000000	1.0000000	0.8083648	0.9971196	0.2052511	0.0675633	0.8443827	0.1663095
650	0.9805079	0.9986489	1.0000000	1.0000000	0.8079498	0.9970410	0.2039634	0.0675911	0.8375928	0.1663663
700	0.9805016	0.9995912	1.0000000	1.0000000	0.8076638	0.9970164	0.2032503	0.0676055	0.8359576	0.1664318
750	0.9804987	0.9998763	1.0000000	1.0000000	0.8074938	0.9970086	0.2029237	0.0676119	0.8355624	0.1664862
800	0.9804975	0.9999626	1.0000000	1.0000000	0.8073994	0.9970062	0.2027923	0.0676146	0.8354664	0.1665238
850	0.9804970	0.9999887	1.0000000	1.0000000	0.8073485	0.9970054	0.2027452	0.0676157	0.8354429	0.1665471
900	0.9804968	0.9999966	1.0000000	1.0000000	0.8073213	0.9970051	0.2027307	0.0676161	0.8354370	0.1665606
950	0.9804967	0.9999990	1.0000000	1.0000000	0.8073068	0.9970051	0.2027275	0.0676163	0.8354355	0.1665681
1000	0.9804967	0.9999997	1.0000000	1.0000000	0.8072991	0.9970050	0.2027275	0.0676163	0.8354351	0.1665722
