"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9804967	1.0000000	1.0000000	1.0000000	0.8070795	0.9970026	0.2028727	0.0676184	0.8354350	0.1667188
50	0.9804989	0.9845093	1.0000000	1.0000000	0.8072321	0.9973673	0.2029822	0.0676113	0.9155700	0.1666516
100	0.9805099	0.9674750	1.0000000	1.0000000	0.8075786	0.9977744	0.2039096	0.0675842	0.9679497	0.1666053
150	0.9805231	0.9582056	1.0000000	1.0000000	0.8080184	0.9980002	0.2052090	0.0675527	0.9843198	0.1665495
200	0.9805327	0.9540294	1.0000000	1.0000000	0.8083841	0.9981039	0.2062650	0.0675301	0.9886856	0.1664823
250	0.9805380	0.9523086	1.0000000	1.0000000	0.8086286	0.9981476	0.2069174	0.0675173	0.9897842	0.1664178
300	0.9805406	0.9516356	1.0000000	1.0000000	0.8087738	0.9981650	0.2072577	0.0675110	0.9900539	0.1663668
350	0.9805418	0.9513812	1.0000000	1.0000000	0.8088548	0.9981718	0.2074150	0.0675081	0.9901194	0.1663314
400	0.9805422	0.9512873	1.0000000	1.0000000	0.8088984	0.9981743	0.2074808	0.0675069	0.9901352	0.1663091
450	0.9805424	0.9512533	1.0000000	1.0000000	0.8089215	0.9981752	0.2075058	0.0675064	0.9901390	0.1662960
500	0.9805425	0.9512411	1.0000000	1.0000000	0.8089337	0.9981756	0.2075142	0.0675061	0.9901400	0.1662885
550	0.9805397	0.9667274	1.0000000	1.0000000	0.8088899	0.9978126	0.2073267	0.0675118	0.9100156	0.1662849
600	0.9805275	0.9837603	1.0000000	1.0000000	0.8086119	0.9974063	0.2063199	0.0675383	0.8576411	0.1662930
650	0.9805140	0.9930291	1.0000000	1.0000000	0.8082093	0.9971807	0.2049834	0.0675696	0.8412687	0.1663274
700	0.9805051	0.9972052	1.0000000	1.0000000	0.8078584	0.9970769	0.2039311	0.0675922	0.8368983	0.1663827
750	0.9805004	0.9989258	1.0000000	1.0000000	0.8076173	0.9970333	0.2032955	0.0676050	0.8357958	0.1664412
800	0.9804982	0.9995988	1.0000000	1.0000000	0.8074711	0.9970158	0.2029697	0.0676114	0.8355237	0.1664897
850	0.9804973	0.9998532	1.0000000	1.0000000	0.8073882	0.9970091	0.2028214	0.0676143	0.8354569	0.1665242
900	0.9804969	0.9999471	1.0000000	1.0000000	0.8073428	0.9970065	0.2027603	0.0676155	0.8354405	0.1665465
950	0.9804967	0.9999812	1.0000000	1.0000000	0.8073183	0.9970056	0.2027377	0.0676160	0.8354364	0.1665598
1000	0.9804967	0.9999934	1.0000000	1.0000000	0.8073052	0.9970052	0.2027304	0.0676162	0.8354354	0.1665675
