"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1296689	1.0221832	1.1839829	1.1047180	0.3117362	0.9082987	0.4491893	0.2619880	1.0588718	0.8045879
50	0.1120314	0.9038469	0.9707433	0.9131701	0.3101596	1.2917936	0.4951920	0.2735871	1.0090627	0.9915063
100	0.2122301	0.9755126	0.6434587	0.6772442	0.3286942	0.7567684	0.4681193	0.2893441	1.0017901	1.0464425
150	0.2903842	0.9694211	0.3939573	0.7949631	0.1636359	0.9646378	0.5945264	0.4783406	0.8924686	0.9567768
200	0.2514033	0.9370700	0.2656956	0.9523197	0.1839695	0.9457220	0.5293281	0.5392606	0.9805009	0.9387627
250	0.4742958	1.0157542	0.1871097	0.8607901	0.1457653	0.6719338	0.5486817	0.5713259	0.7637824	0.9067373
300	0.3464309	0.9251661	0.1768169	0.8843184	0.1042660	0.6294513	0.6624164	0.6508719	1.0676744	1.0650673
350	0.4104604	1.1274803	0.1459721	0.8846685	0.1166553	0.5937946	0.5886229	0.8015411	0.9625322	1.0174111
400	0.3107775	0.9033354	0.1867177	0.7759959	0.1042860	0.3992490	0.7212909	0.7570696	1.0004563	0.9556711
450	0.4374737	1.0408315	0.1297041	0.7705639	0.0350637	0.5335082	0.6512145	0.9585876	0.8514830	0.9497003
500	0.4621462	1.0945329	0.1947030	0.8168377	0.0733142	0.4846361	0.6375582	0.7653074	0.7431497	1.0244742
550	0.2930249	1.1123949	0.3356081	1.0964144	0.0769417	0.6010931	0.6276679	0.7534070	0.8423731	0.9507523
600	0.4456643	0.9691418	0.6274684	0.9811035	0.1732448	0.4182713	0.7603779	0.7094600	0.8008438	1.1823128
650	0.2904804	0.8018519	0.7689310	1.0472779	0.3296409	0.7249773	0.5651129	0.5978343	0.9020427	0.9235691
700	0.3017169	1.1099347	0.9311430	0.7962612	0.2242843	0.8151416	0.5596959	0.4214476	0.9343796	1.0619209
750	0.1094834	0.9700943	0.9318724	0.9645855	0.2166184	1.0871383	0.4924772	0.3161048	0.9492458	1.1439432
800	0.1949071	0.8893926	1.0064835	0.9982207	0.2228052	1.1018242	0.4968698	0.3102400	0.9654065	0.9556065
850	0.1777763	1.0558677	0.9629584	1.1777485	0.3132485	1.1312729	0.5175570	0.2626576	1.0007799	1.0137305
900	0.1964787	1.1020877	0.9666082	1.1441100	0.3451873	1.1073021	0.6551490	0.3415860	0.8849116	0.9199324
950	0.1584719	0.9749739	0.9567609	1.1715609	0.3531584	1.0650924	0.4279486	0.3370600	1.1051460	1.0004291
1000	0.1988260	1.2181015	1.1036581	0.9597537	0.2918812	0.8907420	0.5359355	0.4598141	1.1607969	1.1277880
