"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0483132	0.9828088	1.0849887	0.0457672	0.0293644	0.5709838	0.0476304	0.0273006	0.3597144	0.4705463
50	0.2772792	0.5259613	0.9624416	0.0537587	0.0154350	0.3583374	0.4458310	0.0112421	0.2569674	0.4735320
100	0.2642370	0.2901097	1.2008185	0.0344043	0.0148843	0.3842895	0.5582174	0.1643683	0.0341817	0.4914950
150	0.3034645	0.3396696	1.0496924	0.0813436	0.0125964	0.4254062	0.4930837	0.1956975	0.0121048	0.4060024
200	0.3627768	0.3397644	1.3161318	0.0396311	0.0175809	0.5734781	0.6121148	0.3998281	0.0020777	0.6600183
250	0.2516925	0.4273771	1.0193448	0.0299849	0.0211251	0.4793869	0.4297140	0.2904507	0.0055877	0.4248076
300	0.3851405	0.3653474	0.8643111	0.1008365	0.0175225	0.4714753	0.5715670	0.3733212	0.0020096	0.5184697
350	0.3562862	0.3699019	0.9387152	0.0663479	0.0722912	0.6159321	0.5775789	0.3483601	0.0045407	0.4386869
400	0.3719598	0.3563359	0.9339457	0.0931073	0.0251315	0.6073916	0.5692860	0.3485648	0.0001012	0.6012034
450	0.2614896	0.4066160	0.9831389	0.1039053	0.0803248	0.6202446	0.5127108	0.2624420	0.0000186	0.4427461
500	0.3618330	0.4130893	1.0046117	0.0912216	0.0612271	0.6975810	0.3819833	0.3089810	0.0012125	0.4881445
550	0.1568274	0.8495532	0.8197903	0.0273258	0.0463320	0.6370042	0.1098251	0.3284221	0.2084335	0.4934608
600	0.1476874	0.9494439	1.1091093	0.0995165	0.0384172	0.4622743	0.0916833	0.2410101	0.3820945	0.4671540
650	0.1069120	1.0969242	1.1745973	0.0786415	0.0451544	0.3882014	0.0614130	0.1083193	0.3724175	0.4166226
700	0.0902799	1.0145367	0.8729899	0.0565570	0.0199354	0.4225496	0.0533228	0.0849742	0.5645559	0.4966792
750	0.0641520	1.0741143	0.8774542	0.0485513	0.0168970	0.2833125	0.0327164	0.1145107	0.5985469	0.4815217
800	0.0509972	0.9185676	1.0218508	0.0558438	0.0254726	0.3579976	0.0893702	0.0449153	0.4697685	0.5346011
850	0.0822417	1.1241945	0.8800798	0.0285425	0.0179466	0.3458821	0.0402983	0.0293143	0.5029647	0.4244741
900	0.0999616	0.8945512	1.0511903	0.0408377	0.0270352	0.3372600	0.0453243	0.0076681	0.4249458	0.4155627
950	0.0418528	1.0233546	1.0009003	0.0256309	0.0256612	0.3788266	0.0401066	0.0079571	0.5512275	0.4098738
1000	0.0573075	0.9644395	1.0295119	0.0205801	0.0491110	0.3081916	0.1152787	0.0041903	0.5211450	0.4665319
