"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0774746	0.9876931	1.0684544	0.0529666	0.0310780	0.4544733	0.0435942	0.0276038	0.4456250	0.4638491
50	0.1943209	0.5387451	0.9998430	0.0434694	0.0236727	0.3760151	0.4227082	0.0203535	0.1813408	0.4732031
100	0.2664858	0.3937032	1.1368976	0.0531359	0.0308358	0.4355882	0.5419748	0.1794195	0.0556777	0.4877754
150	0.2808761	0.3314286	1.0087336	0.0397288	0.0314377	0.4243858	0.5057348	0.1964527	0.0158506	0.4738267
200	0.3503128	0.3564439	1.0042467	0.0388266	0.0296027	0.5103802	0.4945801	0.2741001	0.0046695	0.5033864
250	0.2966256	0.3556571	1.0475597	0.0476330	0.0290865	0.4859150	0.4357362	0.2831522	0.0031407	0.4197979
300	0.3178429	0.3992523	0.9303559	0.0767068	0.0441510	0.5002584	0.5335347	0.3141683	0.0029069	0.4743904
350	0.4031674	0.3695715	0.9894840	0.0885595	0.0619337	0.5400934	0.5281733	0.3123572	0.0016521	0.5002881
400	0.3609260	0.3828920	0.9264812	0.0655353	0.0384833	0.6297519	0.5502581	0.3493515	0.0000408	0.5088734
450	0.3165831	0.3754037	0.9576154	0.0599288	0.0472723	0.5623449	0.5198826	0.2901582	0.0000368	0.4418352
500	0.3094978	0.4179701	0.9492010	0.0598372	0.0434722	0.6203908	0.4903739	0.2865833	0.0004303	0.5065160
550	0.1408372	0.8522341	0.9554217	0.0335060	0.0301565	0.5547643	0.1591515	0.2875320	0.2991674	0.4961328
600	0.0921789	0.9796293	1.0620102	0.0635620	0.0373460	0.4603747	0.1079713	0.1748529	0.3895478	0.5098430
650	0.0812226	1.0775568	0.9663922	0.0569297	0.0319947	0.3845234	0.0626421	0.1005511	0.4187169	0.4851891
700	0.0916366	0.8785506	0.9816182	0.0624604	0.0362325	0.4159800	0.0371013	0.0646536	0.4681483	0.4401958
750	0.0491063	0.9499747	0.9588385	0.0586284	0.0124632	0.3984279	0.0394569	0.0689732	0.4359977	0.4157184
800	0.0786084	1.0730745	0.9820585	0.0471745	0.0331108	0.3313198	0.0398574	0.0417954	0.4497271	0.4770413
850	0.0510819	1.0243878	1.0440188	0.0488301	0.0248314	0.3538458	0.0486836	0.0309507	0.4994618	0.4759351
900	0.0919380	0.9463633	1.0335894	0.0262176	0.0226210	0.2985429	0.0552600	0.0090899	0.4743325	0.4282609
950	0.0569475	0.9845228	0.9487021	0.0286671	0.0306189	0.3902099	0.0624338	0.0096546	0.5451048	0.3967502
1000	0.0448780	0.9753887	0.9276333	0.0305838	0.0550904	0.3444196	0.0611168	0.0062811	0.4987487	0.4348552
