"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0780616	1.0637654	0.9874314	0.0649883	0.0463397	0.4086243	0.0648802	0.0146938	0.5091797	0.5417177
50	0.1127641	0.7768573	0.9636639	0.0638781	0.0289479	0.3794875	0.2642878	0.0101051	0.2759375	0.4542760
100	0.2154772	0.6507965	0.9171122	0.0549658	0.0446267	0.4391170	0.3950277	0.0827634	0.1775302	0.5182923
150	0.2732275	0.4669115	0.9987429	0.0424357	0.0422345	0.4628942	0.4847165	0.1670202	0.0676459	0.5160927
200	0.2964138	0.4070847	1.0338443	0.0430060	0.0392175	0.5275909	0.5112663	0.2432466	0.0236762	0.4841379
250	0.3386948	0.4090136	1.0493634	0.0536994	0.0183981	0.5488738	0.3918501	0.2945973	0.0085835	0.4337955
300	0.3182241	0.3923071	0.9477525	0.0504936	0.0335079	0.4949529	0.4207946	0.2849164	0.0089001	0.4922773
350	0.3640245	0.3716571	0.9037535	0.0949986	0.0355234	0.4905693	0.4999237	0.3002523	0.0062978	0.4555174
400	0.4068698	0.3897491	0.8815849	0.0703220	0.0498081	0.6009731	0.5318247	0.3076005	0.0003409	0.4703864
450	0.3519011	0.3908179	0.9485029	0.0609589	0.0519316	0.6478640	0.5013623	0.3342275	0.0001575	0.4638863
500	0.3561808	0.3517260	0.8891127	0.0491391	0.0580164	0.5969510	0.4885690	0.3164821	0.0014974	0.4782287
550	0.1776264	0.6607387	0.9029316	0.0406143	0.0480295	0.5090215	0.2266801	0.3192206	0.1231732	0.5618403
600	0.1240955	0.7543514	0.9507334	0.0334599	0.0175798	0.4987930	0.1259267	0.2505278	0.2943583	0.4733812
650	0.0924562	0.7905801	0.9992880	0.0385305	0.0362202	0.4154559	0.0997527	0.1791929	0.3775073	0.4436038
700	0.0917384	0.8294823	1.0101028	0.0329450	0.0357942	0.3977180	0.0494127	0.0942771	0.4429452	0.4503119
750	0.0755371	0.7729946	1.0150413	0.0422631	0.0397295	0.4693807	0.0445074	0.1011249	0.4424573	0.4000563
800	0.0885874	0.8671937	1.0311457	0.0575797	0.0273241	0.3512548	0.0373717	0.0643138	0.4276083	0.4744922
850	0.0562756	0.9332540	1.0099412	0.0682127	0.0265654	0.3716096	0.0358055	0.0617616	0.4829422	0.4890647
900	0.0725502	0.9266983	1.0056180	0.0553036	0.0416387	0.3161450	0.0377022	0.0199589	0.4477026	0.4747048
950	0.0489073	0.9586290	0.9331512	0.0431716	0.0449764	0.3556408	0.0493810	0.0214345	0.5030373	0.4279173
1000	0.0576299	0.9316270	1.0302643	0.0378298	0.0339403	0.3005053	0.0580077	0.0103663	0.5963563	0.4376096
