"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9134151	1.0000000	1.0000000	0.7004517	0.5347113	0.7163164	0.9211695	0.9893946	0.8587607	0.3462689
50	0.9090007	0.6024667	0.6007813	0.6913394	0.5377192	0.7428956	0.9161109	0.9881151	0.4340637	0.4520153
100	0.8879315	0.5509161	0.4526006	0.6604179	0.5464698	0.7109557	0.8916789	0.9816891	0.2579219	0.5663268
150	0.8511171	0.5442313	0.3975994	0.6239326	0.5495671	0.6787079	0.8515535	0.9672861	0.1843540	0.6698123
200	0.8118661	0.5433644	0.3771842	0.5981480	0.5398703	0.6579541	0.8141713	0.9435756	0.1534755	0.7392442
250	0.7811569	0.5432520	0.3696066	0.5878097	0.5225564	0.6441306	0.7900370	0.9122599	0.1407806	0.7777117
300	0.7619564	0.5432374	0.3667940	0.5884874	0.5075371	0.6333918	0.7774954	0.8778840	0.1358627	0.7965196
350	0.7523393	0.5432355	0.3657500	0.5931137	0.5000535	0.6247801	0.7709463	0.8459838	0.1341066	0.8049091
400	0.7487243	0.5432353	0.3653625	0.5968524	0.4991804	0.6185645	0.7666489	0.8206830	0.1334870	0.8084626
450	0.7479105	0.5432352	0.3652186	0.5982288	0.5013367	0.6147963	0.7632691	0.8033361	0.1332022	0.8100071
500	0.7479211	0.5432352	0.3651652	0.5978833	0.5035577	0.6129620	0.7606588	0.7929156	0.1330035	0.8107520
550	0.7797537	0.9407685	0.7643641	0.6204908	0.4890296	0.5765668	0.8301043	0.8261641	0.5593508	0.7244102
600	0.8341238	0.9923191	0.9125374	0.6705899	0.4749863	0.6201642	0.9062578	0.8950652	0.7277655	0.5754874
650	0.8726275	0.9990040	0.9675359	0.7053261	0.4890945	0.6617992	0.9350068	0.9432426	0.7940336	0.4638637
700	0.8956882	0.9998708	0.9879501	0.7164694	0.5131420	0.6875556	0.9387257	0.9682872	0.8227798	0.4016652
750	0.9076484	0.9999833	0.9955274	0.7129516	0.5311083	0.7018941	0.9321520	0.9799131	0.8373097	0.3711656
800	0.9126230	0.9999978	0.9983399	0.7054868	0.5390367	0.7095769	0.9244644	0.9851676	0.8456285	0.3571959
850	0.9138724	0.9999997	0.9993838	0.7001479	0.5396392	0.7135119	0.9199639	0.9875471	0.8507618	0.3510337
900	0.9136490	1.0000000	0.9997713	0.6982553	0.5371893	0.7153492	0.9189042	0.9886161	0.8540467	0.3483499
950	0.9132076	1.0000000	0.9999151	0.6986451	0.5347717	0.7160673	0.9197044	0.9890787	0.8561481	0.3471690
1000	0.9130050	1.0000000	0.9999685	0.6997424	0.5335716	0.7162649	0.9208302	0.9892658	0.8574387	0.3466400
