"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9133880	1.0000000	1.0000000	0.7007513	0.5347447	0.7162611	0.9214793	0.9893205	0.8587530	0.3462539
50	0.9123796	0.7496606	0.7840883	0.6979386	0.5358864	0.7318460	0.9201364	0.9891102	0.6168280	0.3894791
100	0.9032671	0.5979155	0.5616737	0.6806811	0.5425063	0.7278296	0.9097238	0.9867405	0.3680119	0.4775558
150	0.8799892	0.5556188	0.4472704	0.6500005	0.5485508	0.7040094	0.8838230	0.9795221	0.2367042	0.5811465
200	0.8462827	0.5458447	0.3976771	0.6191658	0.5446570	0.6791884	0.8490263	0.9650954	0.1765892	0.6713256
250	0.8118767	0.5437639	0.3776734	0.5987318	0.5306257	0.6599253	0.8173187	0.9426534	0.1505492	0.7343586
300	0.7842159	0.5433399	0.3698912	0.5907477	0.5144781	0.6454781	0.7949607	0.9138274	0.1397766	0.7721739
350	0.7658058	0.5432556	0.3669227	0.5910833	0.5035615	0.6342442	0.7812972	0.8823691	0.1355767	0.7924768
400	0.7555297	0.5432392	0.3658029	0.5942942	0.4996682	0.6256058	0.7730906	0.8526957	0.1340264	0.8025198
450	0.7507487	0.5432360	0.3653833	0.5968629	0.5004085	0.6194840	0.7677250	0.8281640	0.1334322	0.8072449
500	0.7489091	0.5432354	0.3652266	0.5977592	0.5025620	0.6156628	0.7638958	0.8101405	0.1331400	0.8094486
550	0.7568747	0.7935747	0.5810799	0.6045578	0.4971581	0.5923441	0.7812663	0.8071238	0.3766160	0.7817481
600	0.7927611	0.9453198	0.8034728	0.6378591	0.4799724	0.5976065	0.8432687	0.8411719	0.6217048	0.6824615
650	0.8349070	0.9876165	0.9178681	0.6779114	0.4823506	0.6289122	0.8955762	0.8893679	0.7456921	0.5617845
700	0.8686600	0.9973905	0.9674584	0.7036499	0.5021877	0.6607969	0.9227664	0.9295293	0.8011220	0.4679376
750	0.8910877	0.9994713	0.9874610	0.7118408	0.5227988	0.6840676	0.9306950	0.9561269	0.8267539	0.4093764
800	0.9039253	0.9998953	0.9952428	0.7093875	0.5352577	0.6988134	0.9286782	0.9717629	0.8398818	0.3771803
850	0.9101361	0.9999796	0.9982112	0.7040614	0.5392441	0.7074387	0.9241475	0.9803615	0.8473428	0.3608446
900	0.9124978	0.9999961	0.9993309	0.7002463	0.5382471	0.7121580	0.9209638	0.9848963	0.8519038	0.3529779
950	0.9130670	0.9999992	0.9997505	0.6989016	0.5358612	0.7145419	0.9199050	0.9872117	0.8547885	0.3493063
1000	0.9130660	0.9999999	0.9999071	0.6991898	0.5341292	0.7156231	0.9202045	0.9883578	0.8566006	0.3476183
