"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0756105	1.0298661	1.0420283	0.0864614	0.0419981	0.4166935	0.0989631	0.0248409	0.4820491	0.4921515
50	0.1368081	0.7087866	0.8735876	0.0875822	0.0240757	0.4319853	0.1948278	0.0085774	0.2949303	0.5059069
100	0.2240063	0.6922685	0.7988946	0.0420072	0.0527721	0.4873748	0.3607450	0.0944390	0.1931654	0.4033102
150	0.2930007	0.4916366	0.9395178	0.0317225	0.0403966	0.5888279	0.4014404	0.2023974	0.1171682	0.4605392
200	0.3605196	0.3704881	1.0925548	0.0400666	0.0846663	0.6188402	0.3957729	0.2326124	0.0374331	0.4451058
250	0.3539844	0.4295175	0.9233900	0.0694505	0.0386173	0.5011921	0.3584262	0.2545569	0.0043682	0.3878956
300	0.3568331	0.4895028	0.9404067	0.0716595	0.0375106	0.4986033	0.3663951	0.2613951	0.0107377	0.4954829
350	0.4000781	0.3736001	0.7509417	0.1209545	0.0296125	0.4822803	0.5394909	0.2502677	0.0046045	0.4622147
400	0.3143606	0.3799970	1.0508339	0.1045894	0.0931482	0.5639577	0.5002012	0.3392561	0.0001865	0.5044981
450	0.2918729	0.4845864	0.9364692	0.0387432	0.1082481	0.5612267	0.5300178	0.3674935	0.0001072	0.4589528
500	0.3789456	0.2970346	0.9968107	0.0455303	0.0645596	0.5688785	0.5059231	0.2897619	0.0008841	0.5431286
550	0.1655531	0.6250977	0.9679650	0.0403074	0.0751595	0.4251460	0.2206159	0.3067935	0.1482619	0.6063223
600	0.0865817	0.7985717	0.9158291	0.0482339	0.0102881	0.5848790	0.1298382	0.1818682	0.2546451	0.6219191
650	0.1131334	0.8121932	1.0824937	0.0391916	0.0359650	0.4718680	0.1252562	0.1908854	0.3511728	0.4756286
700	0.0853160	0.8314844	1.0288172	0.0161625	0.0380419	0.3232166	0.0327269	0.1211769	0.5081855	0.4909746
750	0.0845980	0.9480506	0.8666738	0.0448031	0.0338682	0.5029716	0.0437428	0.0779284	0.4655950	0.3376936
800	0.0733404	0.8482850	1.1351868	0.0337404	0.0153312	0.3038834	0.0445653	0.0324889	0.3931300	0.4927089
850	0.0346734	0.8600139	0.9769763	0.0429959	0.0681933	0.4518189	0.0214096	0.0834262	0.5702028	0.4934095
900	0.0731684	0.9356238	1.0627711	0.0338253	0.0534679	0.4256368	0.0285513	0.0311001	0.5048717	0.4051736
950	0.0458131	1.0045603	0.8219867	0.0238997	0.0485505	0.3699235	0.0503422	0.0723802	0.4270406	0.4529136
1000	0.0429912	0.9412272	1.0037274	0.0473958	0.0447676	0.2786672	0.0550767	0.0034545	0.5614369	0.5028833
