"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.8765476	0.3449249	0.7180369	0.2031380	0.5342667	0.0122696	0.9291454	0.2133107	0.8144001	0.5218003
50	1.0044125	0.2879516	0.5556482	0.2162324	0.4645156	0.0242190	0.8430829	0.1763811	0.9449348	0.8029487
100	0.8598556	0.3881717	0.9962557	0.2151052	0.5147521	0.0194707	0.8976769	0.1727943	0.6691894	0.7988337
150	0.8071901	0.2979346	0.7594138	0.2596019	0.6568618	0.0285350	1.0230118	0.2154855	0.7968144	1.1073332
200	1.0461452	0.3130723	0.8691950	0.2345712	0.5222132	0.0301236	0.7272537	0.1600180	0.7320640	1.0972235
250	0.8234434	0.2797048	0.8715819	0.1879959	0.5799838	0.0162852	0.8382393	0.2336929	0.7424757	1.0490839
300	0.8446432	0.2462648	0.7395427	0.2650090	0.4726583	0.0278411	0.8409946	0.1437886	0.9402562	0.9222854
350	0.8897036	0.4019664	0.6796945	0.2581210	0.4367210	0.0490342	0.8086058	0.1398236	0.8925334	0.9100374
400	0.7568450	0.2158792	0.7836758	0.3029819	0.6291322	0.0273621	0.7910753	0.1587222	0.7991653	1.0547597
450	0.7020573	0.2352734	0.6931083	0.2283225	0.6840752	0.0391865	0.8670653	0.2122820	0.9702354	1.0955104
500	0.8163806	0.3691109	0.7570209	0.3501020	0.6316499	0.0126805	0.7807374	0.1648083	0.8905808	1.0255080
550	0.6824272	0.1926156	0.8352360	0.3153164	0.4925595	0.0130774	0.7752301	0.1375357	0.7261978	0.6532724
600	0.7479333	0.3258349	0.7130895	0.2404730	0.5145896	0.0350209	0.7554023	0.1520913	0.5596992	0.5419285
650	0.8653288	0.2776867	0.5083415	0.2449222	0.4784218	0.0210761	0.7486308	0.2156795	0.6497116	0.5053724
700	0.9331539	0.4075171	0.8511565	0.2668407	0.4068927	0.0195308	0.8434428	0.1765792	0.8171342	0.4557831
750	0.6426823	0.3336830	0.6402491	0.3306061	0.4267505	0.0262776	0.7511701	0.2737874	0.8853912	0.4253652
800	0.6949319	0.3637778	0.4853738	0.2746067	0.4043653	0.0145775	0.9336935	0.2524546	0.7952713	0.4823354
850	0.9713243	0.3520636	0.5465675	0.3756221	0.2772728	0.0208485	0.7281679	0.2217266	0.8369647	0.6212972
900	0.8480042	0.3583787	0.6304610	0.1876084	0.2465738	0.0709236	1.0112031	0.2203085	0.7542937	0.6155331
950	0.7979820	0.3268304	0.5976533	0.5109027	0.4121263	0.0398957	0.9696656	0.2325866	0.7875503	0.4324776
1000	0.6452527	0.4295916	0.4537848	0.2256411	0.5198625	0.0210926	0.8270130	0.2469477	0.8701599	0.4327184
