"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.8837049	0.3726832	0.7531904	0.2201764	0.5177520	0.0142488	0.9018803	0.2061305	0.7486918	0.5593704
50	0.7942727	0.2901434	0.5926079	0.2266637	0.5090235	0.0176858	0.9079415	0.1809950	0.8053039	0.7643404
100	0.7929160	0.3094447	0.7618145	0.2233465	0.5783363	0.0183948	0.9125202	0.1616546	0.7570248	0.8947475
150	0.7661878	0.3002669	0.7715735	0.2526561	0.5523623	0.0168710	0.8877156	0.1692216	0.7918353	0.9648329
200	0.7965117	0.2869291	0.7174053	0.2541856	0.5446978	0.0141519	0.8214561	0.1703941	0.7630265	0.9570752
250	0.8034727	0.3029728	0.6905303	0.2083623	0.5290999	0.0122734	0.7396592	0.1561860	0.7100692	0.9876514
300	0.8875338	0.2857010	0.7393723	0.2735903	0.5836127	0.0200050	0.7607892	0.1341824	0.8231960	0.9678443
350	0.7785855	0.3141378	0.7400954	0.2739213	0.5380236	0.0281264	0.7457246	0.1864060	0.7885725	1.0007694
400	0.7918342	0.2883648	0.8351472	0.2670992	0.5933722	0.0285027	0.7700071	0.1790466	0.7120150	0.9821045
450	0.8255106	0.2820255	0.7526503	0.2643185	0.5815764	0.0270736	0.7240962	0.1844869	0.8462949	1.0046619
500	0.8167565	0.2822483	0.7068667	0.2493494	0.5977974	0.0138709	0.7541660	0.1874359	0.7873236	1.0094316
550	0.7803726	0.2877008	0.7365100	0.2621699	0.5391918	0.0201028	0.7272646	0.1738829	0.7463509	0.7115155
600	0.7760032	0.2918273	0.6953922	0.2158187	0.5484338	0.0241184	0.7073244	0.1644630	0.6795331	0.6003229
650	0.8517050	0.3044147	0.6128615	0.2885635	0.4585675	0.0262756	0.7619951	0.1955691	0.6948435	0.5194897
700	0.8348930	0.2958654	0.6780872	0.2990406	0.4147386	0.0220359	0.8019041	0.2283001	0.7134949	0.5141453
750	0.7925935	0.3003387	0.6563083	0.3450007	0.4722811	0.0193652	0.8946678	0.1977733	0.8168935	0.4941351
800	0.7947283	0.3478310	0.5243897	0.2561880	0.5177373	0.0219158	0.8860848	0.2147774	0.8074668	0.5003228
850	0.8407249	0.3839338	0.5570111	0.2457001	0.3295174	0.0381411	0.7742702	0.2374105	0.7656008	0.5073565
900	0.8179349	0.3623766	0.5620149	0.2993252	0.3076664	0.0242910	0.9703477	0.2347471	0.7997446	0.4981309
950	0.7715521	0.3759711	0.5400669	0.4580445	0.4257902	0.0239991	0.9795381	0.2153712	0.7384492	0.4965239
1000	0.7275337	0.4216437	0.4775591	0.3249954	0.5205197	0.0253755	0.9223669	0.2285176	0.8584664	0.5419383
