"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.8636881	0.3197408	0.6860840	0.2893451	0.4905915	0.0234657	0.9773226	0.2045835	0.7546277	0.5692689
50	0.8467103	0.2909817	0.6278380	0.2631686	0.4913431	0.0328290	0.9207007	0.1818019	0.7147603	0.6787138
100	0.8127376	0.3121765	0.6959907	0.2055912	0.4940704	0.0388272	0.8314806	0.1630630	0.8119606	0.8965369
150	0.7986293	0.3703837	0.7345082	0.2188460	0.4807834	0.0232275	0.8662119	0.1563987	0.7401556	0.9943989
200	0.7833824	0.3670613	0.6765094	0.2292230	0.5912983	0.0197957	0.8962427	0.1917110	0.8247341	0.9371633
250	0.8079967	0.2863056	0.7015716	0.1823270	0.5438171	0.0173656	0.8094053	0.1765092	0.8301650	0.8592963
300	0.7872013	0.2955484	0.7280093	0.1780521	0.5579927	0.0008763	0.7208892	0.1421112	0.8689208	0.9677224
350	0.8945636	0.3090316	0.7426002	0.2641234	0.6035338	0.0097253	0.7442322	0.1638315	0.8977851	0.9624517
400	0.8483308	0.3300006	0.8394503	0.2376641	0.5817667	0.0243104	0.7541355	0.1658881	0.7998581	1.0396031
450	0.7683439	0.2308454	0.8086586	0.2427048	0.5977410	0.0378507	0.7747309	0.2133101	0.7391432	1.0598366
500	0.8207212	0.2546515	0.7943043	0.2894566	0.5330138	0.0286971	0.7641363	0.1644357	0.7705076	0.9994712
550	0.8673169	0.2973572	0.7173686	0.2662863	0.5793827	0.0210146	0.7365330	0.1656488	0.7522761	0.7478200
600	0.8110354	0.2891229	0.6771343	0.2778285	0.5504889	0.0167059	0.7619704	0.1734160	0.8076772	0.6352636
650	0.9154462	0.3144213	0.6640023	0.2296032	0.4472710	0.0293326	0.7860860	0.2088112	0.7845400	0.5318566
700	0.8599804	0.2793722	0.6365944	0.2849204	0.4660556	0.0213503	0.7578982	0.1944412	0.7154625	0.4685230
750	0.7222367	0.2557037	0.6545082	0.3240044	0.4398638	0.0251887	0.8198257	0.2295070	0.7496139	0.5499593
800	0.8191173	0.3160768	0.5910576	0.2238678	0.4933575	0.0330750	0.8850853	0.2411509	0.7602839	0.5040810
850	0.8170553	0.3640530	0.5049708	0.2573391	0.4397583	0.0198795	0.8003081	0.2190943	0.8152586	0.4616572
900	0.7768270	0.3246325	0.5461636	0.2835815	0.3294854	0.0285722	0.9018011	0.2134472	0.8640154	0.5195722
950	0.8243536	0.3487080	0.5490427	0.4476781	0.3117525	0.0196465	1.0352383	0.2230468	0.7153371	0.5271654
1000	0.7280006	0.4440387	0.4559009	0.4420976	0.4302344	0.0301927	0.9154766	0.2711812	0.7172923	0.5123103
