"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9253681	0.3302239	0.6606889	0.2804962	0.4692347	0.0457887	0.8264102	0.2084218	0.7639932	0.7610795
50	0.8692435	0.2436492	0.6802074	0.2935738	0.4976777	0.0341748	0.9234271	0.2052078	0.8248652	0.5751075
100	0.6390994	0.3225771	0.7298234	0.1948681	0.5257967	0.0481344	0.8549847	0.0999849	0.7370799	0.8621131
150	0.8013184	0.3503529	0.7027129	0.2111228	0.4014642	0.0372707	0.7647960	0.1719569	0.7939327	0.9402427
200	0.8075361	0.3477819	0.5395776	0.2231204	0.5863761	0.0196605	0.8164881	0.2475624	0.7992479	1.0053872
250	0.9848215	0.4064206	0.7656735	0.2147065	0.5347891	0.0139815	0.8472344	0.1510217	0.9405413	0.8113381
300	0.7961675	0.2874468	0.7486290	0.1638987	0.5298371	0.0003625	0.6945356	0.2722307	0.7290549	0.8918259
350	0.8092557	0.2610096	0.7386240	0.2493152	0.6986890	0.0205302	0.8133829	0.1587134	0.9629368	0.9953014
400	0.9055875	0.3937558	0.6832516	0.1467949	0.4880949	0.0233766	0.8198505	0.1677310	0.7793544	1.0529378
450	0.7246325	0.2755558	0.9525481	0.2722377	0.5499075	0.0280733	0.6874382	0.2359586	0.6746864	1.2756258
500	0.9319057	0.1912182	0.6433571	0.3143211	0.5107158	0.0353684	0.6858139	0.1635511	0.8956551	0.9444097
550	0.9846358	0.2616908	0.6689151	0.2537049	0.5456157	0.0193297	0.7462362	0.1849458	0.6779186	0.8902016
600	0.8553053	0.2665545	0.6366231	0.3493739	0.5106946	0.0094083	0.6681012	0.1941375	0.7544455	0.5535062
650	0.8659528	0.3670455	0.7811388	0.2092994	0.5061440	0.0293510	0.7810034	0.2206056	0.8405412	0.5136641
700	0.8486624	0.3684257	0.5510700	0.2768592	0.4591654	0.0353700	0.8383127	0.1794950	0.7187177	0.5106623
750	0.7318808	0.3045745	0.6336355	0.3045412	0.5388493	0.0562278	0.8361314	0.2756333	0.8078992	0.5456824
800	0.9279679	0.3646732	0.6970213	0.2401536	0.5487552	0.0443714	0.7484374	0.2076533	0.7075110	0.4825230
850	0.7989697	0.4011598	0.5574322	0.2839784	0.4247921	0.0399767	0.8217990	0.1987089	0.8971542	0.4881036
900	0.8305286	0.3639410	0.5250839	0.3214192	0.2915869	0.1110070	0.9040109	0.2090021	0.8832685	0.4778419
950	0.7886592	0.3519195	0.6544282	0.5087947	0.3093337	0.0138872	1.1614557	0.2621608	0.7465943	0.5737749
1000	0.8638079	0.3700882	0.5194223	0.4744977	0.4114132	0.0330594	0.8676808	0.2824888	0.6172470	0.6559793
