"Time"	G1	G2	G3	G4	G5	G6	G7	G8

0	1.1773719	0.9725380	1.0069215	0.7359483	0.2780354	0.4035759	1.1499806	0.6738540
50	1.0644322	0.8828766	0.9747652	0.9466363	0.2452989	0.0628693	0.3473575	0.6277274
100	0.9511709	0.9016782	0.9189740	0.9632553	0.2014011	0.0144555	0.0835380	0.6282824
150	0.9764602	0.7104372	0.8541671	0.9967175	0.1873950	0.0099355	0.0366237	0.6803385
200	0.9922551	0.8604334	0.9091980	1.0745614	0.1786077	0.0102288	0.0377094	0.8170705
250	0.9606997	0.8486761	1.0761992	0.8836379	0.1849917	0.0020627	0.0288363	0.6620039
300	0.8672347	0.8782643	0.8254246	1.1799082	0.1658015	0.0004482	0.0148671	0.5954672
350	1.2048698	0.7600888	1.1022853	1.0735046	0.2481204	0.0015029	0.0195921	0.6411217
400	1.0389535	0.9095201	0.9098784	1.0124630	0.1413509	0.0017793	0.0187110	0.7213548
450	1.2951253	0.7198676	0.9152950	0.9561185	0.2102050	0.0000000	0.0183561	0.5876213
500	1.2443706	0.6002755	0.9725358	1.0618065	0.1977848	0.0015229	0.0197109	0.5433036
550	0.9765375	0.7699527	0.9372621	0.8160049	0.1777679	0.1191338	0.8970829	0.6547010
600	1.1206194	1.0102519	1.0175388	0.7959663	0.2577418	0.1705695	1.1240860	0.6725966
650	0.9743667	1.0823302	1.0628329	0.8480291	0.1579933	0.1645428	0.9395647	0.4993685
700	0.9124795	1.1241898	1.1096038	0.6557424	0.1711495	0.2761083	0.9367239	0.6953184
750	0.8254337	0.9636096	0.9841696	0.7289744	0.1882335	0.2316870	1.0237705	0.6605104
800	1.0766335	1.2397269	1.1406604	0.8501407	0.2480270	0.1715047	1.1469295	0.6618089
850	1.1740084	1.1221481	0.8054624	0.8788453	0.2927460	0.3183039	1.0264829	0.5723913
900	0.9583793	1.0382765	1.0943793	0.8344192	0.2299849	0.2070516	1.1425448	0.6748760
950	1.1677788	1.1589806	1.0178742	0.7333871	0.2924632	0.1930186	0.9438866	0.6881951
1000	1.1209245	0.9857575	1.0263803	0.9353208	0.2376297	0.2011453	0.9471801	0.5563362
