"Time"	G1	G2	G3	G4	G5	G6	G7	G8

0	0.9520848	0.9735691	0.9365518	0.7789553	0.1969335	0.2864090	1.0219703	0.6385341
50	0.9309850	1.0019789	0.8864274	0.9525615	0.2464950	0.1821477	0.6683851	0.5901946
100	0.9819552	0.9284341	0.8823330	1.0020140	0.2126148	0.1064474	0.2407038	0.5801996
150	0.9943243	0.7925573	0.8590056	1.0231507	0.2259867	0.0457519	0.0979157	0.5820803
200	0.9003454	0.7903644	0.9708090	1.0785690	0.1933240	0.0160736	0.0540517	0.6030554
250	0.9860828	0.8288202	1.0665750	1.0625896	0.1960044	0.0263232	0.0341413	0.6473240
300	0.9952570	0.7760187	1.0276420	1.0542391	0.1574360	0.0092126	0.0263189	0.6328640
350	1.0223164	0.8529939	0.9735952	1.0129438	0.1696682	0.0094783	0.0302087	0.6467063
400	1.0001309	0.8608206	0.9513622	1.0013761	0.1676125	0.0021883	0.0171004	0.6591192
450	1.1123013	0.9229234	0.9815516	0.9418619	0.1836291	0.0002476	0.0221396	0.6560093
500	1.1090290	0.8066679	1.0391625	0.9459298	0.1710981	0.0014120	0.0198211	0.6185532
550	1.1486592	0.9769917	0.9730778	0.9358636	0.1899762	0.0859600	0.3956540	0.6099659
600	1.0318134	0.9226714	0.9887969	0.8091323	0.1932583	0.1479197	0.8430486	0.5542202
650	1.0126785	0.8914217	1.0063096	0.7268360	0.2166098	0.1496241	0.9422880	0.5780935
700	1.0074814	1.0337504	0.9944603	0.7763352	0.2078962	0.1767268	1.0441471	0.7069956
750	0.9496285	1.0079817	0.9487336	0.7463798	0.2272251	0.2386663	1.0316149	0.6229507
800	0.9447095	1.0247400	0.9080542	0.7610089	0.2165939	0.2808060	1.0098342	0.6554764
850	1.0774377	0.9808001	0.9533179	0.7103661	0.2019496	0.2359786	1.0006053	0.5978051
900	1.0240133	0.9847955	0.9503472	0.7753566	0.2525063	0.2634615	1.1007256	0.5708620
950	1.0112185	1.0212473	0.9171689	0.7890980	0.2101837	0.2914667	0.9459821	0.6598415
1000	1.1250403	0.9887282	0.9921334	0.7680615	0.2209606	0.2839885	0.9239620	0.6989652
