"Time"	G1	G2	G3	G4	G5	G6	G7	G8

0	0.9811997	0.9563329	0.9153889	0.8600695	0.3049167	0.3886414	1.0310491	0.6448308
50	0.8945280	1.1823282	0.8750728	1.0515409	0.2122414	0.1581119	0.7464544	0.5774943
100	0.9871731	0.9484770	0.7777889	1.0594119	0.2775370	0.0622683	0.2619446	0.5557659
150	1.0838179	0.8284467	0.8365019	1.1281797	0.3060447	0.0445999	0.0905659	0.4930839
200	0.8337049	0.7794099	1.0087326	1.0410306	0.3302343	0.0238809	0.0565346	0.7007731
250	0.8608210	0.8611551	1.0009639	1.0984088	0.1869982	0.0173642	0.0361650	0.7184789
300	0.9117445	0.8389361	1.0212000	1.0509485	0.1625548	0.0100108	0.0094609	0.6027024
350	1.2760087	0.8267054	0.8539168	1.0523333	0.2008892	0.0266087	0.0196449	0.6362902
400	0.9046817	1.0532140	0.9800650	1.0198424	0.1729024	0.0064125	0.0152070	0.5912893
450	1.1006611	0.8438572	0.9538917	0.7768442	0.1615509	0.0006518	0.0382282	0.6860794
500	1.1409242	0.7645442	1.0252917	0.9067023	0.1507017	0.0005626	0.0530730	0.5540514
550	1.1891549	0.9913619	0.9246443	0.9085149	0.2095763	0.0705202	0.4896666	0.6243695
600	0.9948270	0.9367033	0.8845060	0.7738022	0.1895083	0.1325170	0.7672298	0.5957537
650	0.9497411	0.8829082	1.0533051	0.6771151	0.3483102	0.1217549	0.9396752	0.5895551
700	1.1714217	1.1110691	0.9036457	0.7380457	0.1939308	0.1586986	1.1457709	0.7220915
750	0.8519314	0.8190664	0.9249021	0.7404028	0.3073918	0.2644968	0.9907640	0.5877567
800	1.0156759	0.9700251	0.8713608	0.6889717	0.1549324	0.2987987	0.9515129	0.6776183
850	0.9941922	0.8974678	0.8469450	0.8846155	0.2284312	0.1933687	0.9521440	0.4839136
900	1.0351414	0.9815930	0.9676100	0.8152376	0.2277200	0.3035562	1.0863551	0.5836944
950	1.0459343	1.0593496	1.0623678	0.7948966	0.2318243	0.3030775	1.0363127	0.7185643
1000	1.0974829	0.8991948	0.9184446	0.7012245	0.2414205	0.2862305	0.9768382	0.7427132
