"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.3727523	1.1752669	1.1473959	0.0418924	0.4285359	0.6894899	0.4878534	0.2002949	0.1109690	0.9124627
50	0.4538576	0.5469916	0.9047629	0.2789735	0.3013196	0.5755276	0.5122356	0.1880700	0.2593888	0.4751489
100	0.3651954	0.3059649	0.7945674	0.2701641	0.3174320	0.6186827	0.5184962	0.0756630	0.2651226	0.3808958
150	0.2642632	0.4061715	0.7545301	0.2322879	0.2303891	0.5855761	0.5332649	0.0687973	0.1889045	0.2872356
200	0.2331198	0.3518528	0.7103885	0.2966869	0.2892341	0.4451900	0.6597907	0.1438374	0.2479490	0.3403933
250	0.2683335	0.2929652	0.7402155	0.3323367	0.2572705	0.6636000	0.5345730	0.0760739	0.1606746	0.4221332
300	0.1891969	0.3863035	0.6503692	0.3252540	0.3842244	0.5957898	0.7527609	0.0814633	0.2350147	0.3575285
350	0.1992621	0.3129707	0.9334905	0.3034334	0.2292512	0.6711790	0.4406094	0.0750441	0.2828115	0.3232163
400	0.1448035	0.2751134	0.8315373	0.4122967	0.2354501	0.7885675	0.6451941	0.0977524	0.2622330	0.3093472
450	0.1888450	0.2769706	0.8246801	0.4618964	0.2523029	0.6580564	0.5591371	0.0313410	0.2536527	0.2826702
500	0.1542569	0.3827819	0.7199710	0.4002128	0.1992613	0.5911542	0.6498562	0.0519898	0.2034950	0.4701902
550	0.3001094	0.7652165	0.9520269	0.1254181	0.2369862	0.5238085	0.4663139	0.1474986	0.1176424	0.7623213
600	0.3383343	0.9172265	1.0314578	0.0794693	0.3595038	0.5305018	0.5448497	0.1925585	0.0530504	0.8458683
650	0.4429687	0.8414300	0.9038992	0.0531368	0.3757149	0.6543415	0.6095888	0.1137215	0.1238193	0.8874159
700	0.4489639	0.9638238	1.0874690	0.1011980	0.3334612	0.5472783	0.6755622	0.2284627	0.1605044	1.0056981
750	0.4193762	0.9736463	0.9735936	0.0610070	0.3724820	0.4709209	0.4599327	0.2358962	0.1505899	1.0689849
800	0.4328788	1.1655971	1.0392652	0.0721303	0.2989825	0.5688316	0.4192524	0.1730452	0.1774367	0.9039202
850	0.5256316	1.0264604	1.1388686	0.0588901	0.3750528	0.5610532	0.5264926	0.1249302	0.1027257	0.9574546
900	0.5066048	0.9092510	0.8377223	0.0497918	0.3778089	0.5355527	0.5573616	0.1786415	0.1254245	0.9763464
950	0.5683560	1.0758836	0.8544380	0.0525693	0.3836065	0.4896280	0.3826175	0.2155286	0.1696098	1.0052268
1000	0.4676541	1.0034262	0.9461850	0.0607139	0.4252098	0.6043400	0.4331439	0.3572301	0.1823685	0.8454751
