"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.4918222	1.0158047	1.0321305	0.0700767	0.3650342	0.5926683	0.4993194	0.1982393	0.1211403	0.9332519
50	0.4339546	0.5212874	0.7695418	0.2892919	0.3713557	0.6105531	0.4690049	0.1947716	0.2319258	0.4729616
100	0.3995012	0.3232626	0.7152036	0.3163583	0.2943286	0.6183104	0.5664296	0.1094868	0.2679594	0.3657942
150	0.2767114	0.3077812	0.7012656	0.2903081	0.2460288	0.5966162	0.5677227	0.0698550	0.2178241	0.3593040
200	0.2550935	0.3187813	0.7344813	0.3014132	0.3194297	0.5363954	0.5902016	0.0813934	0.2590879	0.3229796
250	0.2673990	0.3097675	0.7842099	0.3224107	0.2765681	0.6208631	0.5535292	0.0837043	0.1813059	0.3145393
300	0.2488730	0.3164381	0.7745750	0.3176579	0.2688020	0.6077519	0.6732268	0.0585259	0.1881086	0.3218609
350	0.2313622	0.3580612	0.8129935	0.3423637	0.2230919	0.6510298	0.5954047	0.0726986	0.1939826	0.3067032
400	0.1845308	0.2915942	0.7600268	0.3125143	0.2498728	0.7256972	0.6502169	0.0721946	0.2399895	0.3194906
450	0.2141318	0.2963091	0.7196525	0.3401343	0.2308113	0.6055755	0.6299999	0.0487731	0.2294495	0.2929162
500	0.2036347	0.2979005	0.7634200	0.3460263	0.2299462	0.5845814	0.6206846	0.0558012	0.2111612	0.3291982
550	0.2699582	0.7262745	0.9430192	0.1216170	0.2532884	0.5721962	0.5474702	0.1197296	0.1054927	0.7643129
600	0.3610086	0.9090958	1.0265751	0.0575564	0.3085558	0.5635185	0.5325661	0.1293097	0.0631125	0.8603513
650	0.4290188	0.9246466	1.0183183	0.0429218	0.3561470	0.5734972	0.5994413	0.1259242	0.1370484	0.9085159
700	0.4756921	0.9113757	0.9519884	0.0725397	0.3545101	0.5493224	0.5500763	0.2141579	0.1531398	0.9441343
750	0.4628123	0.9839316	0.9928348	0.0582632	0.3754132	0.5354392	0.4720944	0.1772618	0.1416394	0.9545560
800	0.5077510	0.9258014	1.0912270	0.0876238	0.3238888	0.5543410	0.4573586	0.1631588	0.1637277	0.9255556
850	0.4334804	1.0882683	1.0263366	0.0681277	0.3383273	0.5424165	0.4827471	0.1498899	0.1152190	0.9266442
900	0.5107628	1.0337897	0.9350969	0.0614819	0.3571059	0.6011820	0.4892502	0.1943983	0.1348849	0.9740597
950	0.4445872	1.0485424	0.9961470	0.0567194	0.3738352	0.5870003	0.4462613	0.2553344	0.1993237	0.9402016
1000	0.4644407	1.0111242	0.9612709	0.0809789	0.3984391	0.6116489	0.4279362	0.3607475	0.1757272	0.9470433
