"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.4957829	1.0409809	1.1444232	0.0585447	0.4072587	0.5711460	0.5223984	0.1766595	0.1733505	0.9718544
50	0.4534117	0.7365332	0.9936375	0.1427166	0.3987496	0.6177875	0.4266129	0.2285476	0.2436552	0.7054042
100	0.4305378	0.5397462	0.8848250	0.3093433	0.3363329	0.6592813	0.4702849	0.1660093	0.2695559	0.4797449
150	0.2688293	0.3602701	0.8456582	0.3160529	0.2916967	0.6417188	0.5019934	0.1120064	0.2254269	0.4126581
200	0.2639957	0.3315776	0.7590301	0.3124733	0.3374812	0.6178788	0.5329746	0.0670104	0.2592847	0.3971384
250	0.2667699	0.3515388	0.7729649	0.3176014	0.2705664	0.6164215	0.5617435	0.0630798	0.2318329	0.3330932
300	0.2559827	0.3527245	0.8112535	0.3013764	0.2685831	0.6645689	0.6523562	0.0963358	0.2246099	0.3306647
350	0.2256770	0.2896493	0.8114687	0.3356540	0.2823851	0.6588779	0.5898318	0.0703516	0.1555137	0.3143739
400	0.1876499	0.3042148	0.7042625	0.3085341	0.1865352	0.6858555	0.5651731	0.0785384	0.2262282	0.2307192
450	0.1562087	0.2941914	0.7358481	0.3474097	0.2122672	0.5925359	0.5613719	0.0558492	0.2144449	0.2611049
500	0.1827774	0.2838456	0.7624071	0.3354740	0.2171431	0.6215476	0.5931129	0.0475527	0.2430351	0.2925615
550	0.2489192	0.4896259	0.8618897	0.2366951	0.1749297	0.5561744	0.5945827	0.0980933	0.1312867	0.6111733
600	0.3655947	0.7007321	0.9425530	0.1399882	0.3376382	0.5664847	0.5445691	0.1438488	0.0759148	0.7864464
650	0.4473621	0.8958953	0.9975662	0.0828124	0.3646161	0.6360205	0.5573917	0.1227921	0.1186265	0.8452338
700	0.4731241	0.9682148	1.0424577	0.0645040	0.3766528	0.5892840	0.5359067	0.1671640	0.1700836	0.9924932
750	0.4633469	1.0071168	0.9859724	0.0715569	0.3613046	0.5831653	0.4344549	0.2296423	0.1514630	1.0135205
800	0.4411223	1.0166838	1.0986723	0.0611897	0.3791003	0.6190781	0.4323485	0.2174765	0.1381592	0.8938253
850	0.4365718	0.9894677	1.0070111	0.0839837	0.3952940	0.5139498	0.4167271	0.1894370	0.1208290	0.9732649
900	0.5001596	1.0642822	0.8905224	0.0359813	0.3463359	0.5403538	0.4735197	0.1222233	0.0979294	0.9793240
950	0.5184107	1.0916172	0.9000644	0.0476548	0.3897250	0.6408994	0.4579742	0.2673346	0.1823340	1.0321610
1000	0.5588937	1.0582485	0.9156936	0.0647245	0.4155526	0.5646896	0.4174093	0.2678248	0.2151022	0.9035463
