"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.5266419	1.0281761	1.2569172	0.0824927	0.4084192	0.4915424	0.4204873	0.1442924	0.1769490	1.1143327
50	0.4878709	0.7281330	0.9279298	0.1579621	0.3984376	0.5649978	0.3404041	0.2643495	0.2532548	0.6936865
100	0.3368164	0.6009865	0.8881117	0.3734838	0.2465144	0.6755920	0.5415064	0.1210448	0.2551351	0.5344970
150	0.3327754	0.3530063	0.7940915	0.3895675	0.2915046	0.6890592	0.4168221	0.1128262	0.1793168	0.4621700
200	0.2113778	0.3025529	0.7930563	0.3605795	0.3869309	0.6558083	0.6381428	0.1093556	0.2444353	0.3874777
250	0.2114030	0.3859339	0.7114858	0.2782940	0.3247400	0.6522566	0.5027281	0.0519333	0.2489968	0.3978818
300	0.2815923	0.3482274	0.8475648	0.2634727	0.2476315	0.7460156	0.6077806	0.0843322	0.2751716	0.3149989
350	0.2549075	0.2831344	0.8797226	0.3209308	0.2257599	0.7176182	0.5650488	0.0446719	0.1249636	0.2765770
400	0.1788370	0.3519507	0.6646520	0.2400167	0.2420812	0.8305866	0.6621910	0.0657241	0.2770980	0.1877350
450	0.1726329	0.2974450	0.6397567	0.3428398	0.2616593	0.5681742	0.6170887	0.0400025	0.1844902	0.2114837
500	0.1946838	0.2315299	0.7153087	0.3886634	0.2606971	0.7039402	0.6499617	0.0753884	0.2881876	0.3246158
550	0.3636116	0.4860797	0.8821996	0.1793968	0.1835133	0.5782620	0.6633357	0.0904341	0.1047794	0.5615065
600	0.4872507	0.6817177	0.7879549	0.1257764	0.3741289	0.6276709	0.5924045	0.1265854	0.0414546	0.7886768
650	0.4081072	0.8047668	0.9479992	0.0888795	0.4103538	0.6469963	0.5180179	0.1237669	0.1163250	0.8219066
700	0.5036538	1.1450886	1.1611265	0.0691209	0.3357580	0.6094425	0.4782473	0.1652107	0.1890274	0.9180655
750	0.4030270	0.9808445	0.9101030	0.0794415	0.3310477	0.5406224	0.6085537	0.2027619	0.2028761	0.9326023
800	0.4193901	1.0727085	1.1605424	0.0465544	0.4109363	0.6001110	0.3928192	0.2235733	0.0938283	0.8968814
850	0.4822656	0.9833694	0.9328015	0.0542495	0.3759541	0.6342877	0.4229154	0.2614456	0.0958327	0.9780116
900	0.5396386	1.0165384	0.9308404	0.0493205	0.3282468	0.5171299	0.4541327	0.1451766	0.0887735	0.9899888
950	0.4834882	1.2099449	0.8364904	0.0502778	0.4380801	0.7107255	0.4687893	0.3385063	0.1577580	0.9836684
1000	0.4759745	1.1843223	0.9027999	0.0734796	0.4107937	0.5604819	0.4456989	0.2203966	0.2173787	0.9492543
