"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1412267	0.0539698	0.5199763	0.9676125	0.0811778	0.2191605	0.9750495	0.3302313	0.2863025	0.0439056
50	0.1902626	0.4971418	0.1905088	0.5247199	0.0075324	0.0602732	0.8456133	0.3419273	0.3329521	0.2323530
100	0.2656357	0.4168639	0.2858924	0.2688454	0.0171717	0.0029652	0.8904001	0.4343966	0.1287148	0.4305822
150	0.3887332	0.5674617	0.4089059	0.2009408	0.0039175	0.0031847	0.7629108	0.5168425	0.1476049	0.4619046
200	0.4380910	0.5487931	0.3610088	0.2030700	0.0060873	0.0440649	0.4651077	0.5186298	0.0307386	0.5584011
250	0.6507433	0.6102075	0.4063066	0.2497886	0.0175749	0.0477933	0.6489599	0.4250168	0.0125205	0.5710076
300	0.3333727	0.5447218	0.4043782	0.5665745	0.0196171	0.0498914	0.7523653	0.4856500	0.0304796	0.4646783
350	0.5077890	0.6129864	0.4296474	0.5470058	0.0107185	0.0378316	0.7394214	0.5089180	0.0531462	0.4050246
400	0.3628432	0.7000985	0.5561729	0.5104327	0.0252083	0.0525914	0.7400208	0.3979121	0.0753507	0.4282610
450	0.3971566	0.5395918	0.3309079	0.6008077	0.1069761	0.0134767	0.9652979	0.3932558	0.0607645	0.2512405
500	0.1956467	0.7413672	0.3037879	0.6313926	0.2220499	0.0534065	1.0108630	0.3342382	0.0276777	0.1037361
550	0.1983575	0.1317272	0.4986859	0.9477712	0.1184419	0.1682840	0.8266014	0.4042061	0.1322577	0.0523415
600	0.1741111	0.0532987	0.5382692	0.9461014	0.1055696	0.2048873	0.9334980	0.2744790	0.3000616	0.0323419
650	0.2364407	0.0343121	0.5144993	1.1525381	0.0851635	0.1379399	1.1653503	0.3457525	0.3030943	0.0924890
700	0.1648308	0.0882135	0.5418566	1.0941375	0.1224903	0.2607791	1.0887414	0.3812842	0.3567855	0.0473603
750	0.1770003	0.0321904	0.3991231	0.9661485	0.0955449	0.2133607	0.9858018	0.3418925	0.2019697	0.0794550
800	0.2076585	0.0326289	0.4796210	0.8995668	0.0691081	0.2663541	0.9001626	0.4531341	0.3225817	0.0936716
850	0.1656001	0.0535636	0.5664801	0.8712317	0.0411122	0.2663356	1.1287525	0.3187331	0.3487732	0.0883137
900	0.1278038	0.0110976	0.4971130	0.7880694	0.0333736	0.2158960	0.9082784	0.3135256	0.3387620	0.1684509
950	0.1397334	0.0286911	0.4749334	0.8987523	0.0595456	0.2030286	1.0697876	0.3153118	0.3480966	0.1048980
1000	0.2165491	0.0261577	0.5014286	0.8466934	0.0311836	0.1997086	0.9471890	0.3081489	0.2981983	0.1187715
