"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1710101	0.0599640	0.5121375	0.9001075	0.0811510	0.2656254	1.0135065	0.3211115	0.3867628	0.0539515
50	0.1967855	0.4862623	0.2171051	0.5436596	0.0116214	0.0314032	0.9429560	0.3826682	0.3019840	0.1924465
100	0.2656312	0.5309308	0.3200666	0.2399800	0.0138701	0.0025579	0.8588192	0.4366446	0.1241742	0.4643537
150	0.4227355	0.5913404	0.3574400	0.2204816	0.0036553	0.0066940	0.6569519	0.4293521	0.0744187	0.5495993
200	0.4521824	0.5858040	0.3744149	0.2126601	0.0118864	0.0355984	0.6150468	0.5320597	0.0268039	0.6316653
250	0.4743617	0.5553078	0.3654706	0.2674010	0.0152244	0.0440147	0.6574773	0.5289632	0.0153225	0.5781980
300	0.4548043	0.5708307	0.3452181	0.4495931	0.0224094	0.0704725	0.7272282	0.5175312	0.0282490	0.4778428
350	0.4512967	0.5571557	0.4311160	0.5051957	0.0160281	0.0466915	0.7564032	0.4755407	0.0522905	0.3853002
400	0.4099324	0.5957681	0.4377554	0.5062734	0.0307199	0.0697749	0.8236900	0.4442755	0.0550730	0.3526259
450	0.3837727	0.5069677	0.3746683	0.6509310	0.1125080	0.0158124	0.8867502	0.4125914	0.0499336	0.2440059
500	0.2026782	0.6451755	0.3551934	0.6531397	0.1946520	0.0224006	0.9649446	0.3389601	0.0252565	0.1402587
550	0.1675800	0.1328092	0.5885345	1.0064321	0.1099609	0.2039481	0.9303141	0.3693078	0.1081592	0.0578389
600	0.1796061	0.0599865	0.6229991	0.9379018	0.1164602	0.1983116	0.9530804	0.2940514	0.2850793	0.0558640
650	0.1680487	0.0533940	0.5375783	0.9612804	0.0901251	0.1582068	0.9737655	0.3065674	0.3190872	0.0862533
700	0.1875379	0.0528710	0.4695205	0.9973712	0.0837186	0.2247188	0.9926119	0.3013841	0.3226060	0.0725101
750	0.1697284	0.0390208	0.4329507	1.0028510	0.0931200	0.2216060	0.9348103	0.3518449	0.2617066	0.0571480
800	0.1806214	0.0208219	0.4323803	0.9724294	0.0408159	0.2623014	1.0433217	0.3393406	0.3038269	0.0388507
850	0.1437054	0.0331655	0.4368535	0.8450342	0.0347844	0.2569328	1.0013490	0.3268874	0.3183584	0.0625741
900	0.1799622	0.0211468	0.4573896	0.8060612	0.0362880	0.2635225	0.9689159	0.3057928	0.3237238	0.1085524
950	0.1939935	0.0287059	0.4667668	0.8265877	0.0535556	0.2763099	0.9814948	0.3140958	0.3311011	0.1011593
1000	0.1853352	0.0339533	0.5626835	0.9200757	0.0416922	0.2815174	1.0060837	0.3375558	0.2558282	0.0677293
