"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.2058142	0.0519585	0.5191569	0.9452787	0.0890781	0.2649764	0.9667787	0.3365746	0.3712883	0.0932735
50	0.1585378	0.2817661	0.2798699	0.6719180	0.0158762	0.1197397	0.9734556	0.3828357	0.2632270	0.0986456
100	0.2050826	0.4983924	0.2540587	0.3840023	0.0064152	0.0262128	0.9231971	0.4218931	0.1536628	0.3397571
150	0.3525466	0.5208666	0.3483120	0.2469168	0.0052384	0.0144684	0.8094938	0.4431980	0.1089489	0.5116440
200	0.3931192	0.5452973	0.3937787	0.2416026	0.0044585	0.0116590	0.6628852	0.5071081	0.0303085	0.6093208
250	0.4698006	0.5344469	0.3915426	0.2644590	0.0113817	0.0365600	0.6134343	0.4757464	0.0204082	0.6015775
300	0.5030720	0.5584000	0.4251226	0.3350545	0.0200949	0.0608630	0.6188682	0.5494750	0.0279719	0.5710038
350	0.4642223	0.5387304	0.3027725	0.4091546	0.0309732	0.0622061	0.7360416	0.4756426	0.0454667	0.4527186
400	0.4222197	0.5815815	0.3822084	0.4897674	0.0296369	0.0659367	0.7887216	0.4825111	0.0444011	0.3884370
450	0.3930924	0.5363290	0.4231295	0.6009685	0.0960388	0.0261078	0.8565937	0.4191680	0.0521262	0.3745262
500	0.3045714	0.5521847	0.3659536	0.7034521	0.1625820	0.0178529	0.8218340	0.3659962	0.0305176	0.2624034
550	0.1671423	0.3141219	0.4429211	0.8543748	0.1265488	0.1956282	1.0166958	0.3559611	0.0690686	0.1001999
600	0.1916967	0.1341621	0.5848651	0.9664170	0.1073750	0.2291446	0.9967840	0.2952933	0.2059166	0.0711526
650	0.1606681	0.0746518	0.6238467	1.0468462	0.0718980	0.2293263	0.9745428	0.2867859	0.3596169	0.0603843
700	0.1491855	0.0543266	0.5302535	1.0205729	0.0789326	0.2176632	0.9853092	0.2849425	0.3366349	0.0655907
750	0.2190214	0.0528723	0.4724349	0.9970430	0.0756222	0.2331189	0.9393680	0.2780471	0.2926592	0.0901245
800	0.2094273	0.0411549	0.4395365	0.9648844	0.0777705	0.2468174	0.9261094	0.3169219	0.2511707	0.0387758
850	0.1996428	0.0417308	0.4802683	0.9737768	0.0254705	0.2962448	1.0133204	0.3257938	0.3534225	0.0520504
900	0.1950527	0.0398831	0.4716716	0.9018827	0.0204898	0.2453356	0.9178110	0.3265200	0.3606463	0.0895163
950	0.2186835	0.0541499	0.4635754	0.8324009	0.0516448	0.2336925	0.8918116	0.2894812	0.3533434	0.0681677
1000	0.2281519	0.0393551	0.4478804	0.8466483	0.0434877	0.2421905	0.9787341	0.2675691	0.2343584	0.0829739
