"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1070037	0.4267496	0.5516355	0.9893294	0.2441213	0.8026017	0.4906348	0.5144696	0.1865271	0.9958150
50	0.1070193	0.4266992	0.5516340	0.9925839	0.6995335	0.8026072	0.6685989	0.4567432	0.1146744	0.9841947
100	0.1070597	0.4269320	0.5516469	0.9964023	0.8446423	0.8026129	0.8510516	0.4434508	0.0918752	0.9569774
150	0.1071845	0.4278181	0.5516304	0.9981291	0.8907906	0.8026202	0.9181458	0.4403879	0.0846020	0.9454926
200	0.1074130	0.4286405	0.5515475	0.9988072	0.9054240	0.8026212	0.9401044	0.4396812	0.0822650	0.9420490
250	0.1076618	0.4291022	0.5514357	0.9990649	0.9100477	0.8026096	0.9477447	0.4395184	0.0815102	0.9410091
300	0.1078526	0.4292928	0.5513407	0.9991620	0.9115022	0.8025887	0.9505936	0.4394815	0.0812690	0.9406599
350	0.1079669	0.4293507	0.5512793	0.9991984	0.9119572	0.8025662	0.9516882	0.4394737	0.0811964	0.9405259
400	0.1080229	0.4293600	0.5512467	0.9992120	0.9120984	0.8025480	0.9521050	0.4394725	0.0811787	0.9404690
450	0.1080455	0.4293573	0.5512319	0.9992171	0.9121418	0.8025357	0.9522583	0.4394726	0.0811777	0.9404437
500	0.1080527	0.4293539	0.5512262	0.9992189	0.9121549	0.8025286	0.9523120	0.4394728	0.0811805	0.9404326
550	0.1080539	0.4293459	0.5512243	0.9989747	0.4539990	0.8025249	0.9344576	0.4971977	0.1528525	0.9420580
600	0.1080447	0.4291880	0.5512249	0.9978523	0.3080448	0.8025228	0.8650574	0.5104888	0.1755611	0.9535214
650	0.1079807	0.4284295	0.5512459	0.9958730	0.2619311	0.8025212	0.7462172	0.5135508	0.1827857	0.9741962
700	0.1077839	0.4272623	0.5513280	0.9935389	0.2479165	0.8025232	0.6295759	0.5142583	0.1851298	0.9875961
750	0.1074783	0.4264895	0.5514639	0.9915930	0.2441294	0.8025351	0.5530983	0.5144225	0.1859363	0.9930137
800	0.1071960	0.4262902	0.5515905	0.9903708	0.2434403	0.8025579	0.5142752	0.5144603	0.1862432	0.9949142
850	0.1070259	0.4263921	0.5516633	0.9897460	0.2435542	0.8025839	0.4977732	0.5144683	0.1863698	0.9955526
900	0.1069642	0.4265494	0.5516838	0.9894725	0.2437783	0.8026041	0.4918842	0.5144695	0.1864218	0.9957568
950	0.1069638	0.4266619	0.5516755	0.9893685	0.2439437	0.8026147	0.4902861	0.5144694	0.1864416	0.9958147
1000	0.1069833	0.4267197	0.5516592	0.9893351	0.2440386	0.8026175	0.4901219	0.5144693	0.1864491	0.9958262
