"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1070004	0.4267389	0.5516370	0.9893273	0.2441371	0.8025873	0.4906830	0.5144773	0.1865633	0.9958007
50	0.1070083	0.4267328	0.5516344	0.9903325	0.4517748	0.8026019	0.5562145	0.4919300	0.1365737	0.9931462
100	0.1070287	0.4267625	0.5516399	0.9935357	0.6840374	0.8026088	0.7294483	0.4666540	0.1008240	0.9763633
150	0.1070914	0.4272587	0.5516414	0.9962627	0.8127526	0.8026159	0.8533007	0.4522133	0.0876386	0.9587796
200	0.1072380	0.4280458	0.5515969	0.9978386	0.8717444	0.8026206	0.9122382	0.4451872	0.0832564	0.9486575
250	0.1074522	0.4287008	0.5515056	0.9986138	0.8964329	0.8026160	0.9366171	0.4419806	0.0818314	0.9439238
300	0.1076692	0.4290873	0.5514046	0.9989644	0.9062242	0.8026006	0.9462424	0.4405607	0.0813716	0.9418860
350	0.1078387	0.4292666	0.5513241	0.9991152	0.9099704	0.8025794	0.9499961	0.4399416	0.0812273	0.9410352
400	0.1079476	0.4293331	0.5512726	0.9991779	0.9113669	0.8025591	0.9514520	0.4396740	0.0811864	0.9406815
450	0.1080074	0.4293516	0.5512448	0.9992034	0.9118772	0.8025436	0.9520104	0.4395590	0.0811783	0.9405332
500	0.1080359	0.4293542	0.5512318	0.9992135	0.9120606	0.8025334	0.9522203	0.4395098	0.0811794	0.9404705
550	0.1080477	0.4293519	0.5512264	0.9991568	0.7032255	0.8025275	0.9465138	0.4620310	0.1310134	0.9408042
600	0.1080494	0.4292993	0.5512247	0.9986343	0.4695847	0.8025243	0.9102152	0.4872951	0.1666496	0.9451799
650	0.1080268	0.4289289	0.5512323	0.9973441	0.3402164	0.8025222	0.8254123	0.5017300	0.1797674	0.9584638
700	0.1079279	0.4280497	0.5512774	0.9954018	0.2812819	0.8025220	0.7130613	0.5087536	0.1841335	0.9742731
750	0.1077163	0.4271013	0.5513796	0.9933153	0.2571332	0.8025282	0.6147504	0.5119599	0.1855930	0.9852349
800	0.1074444	0.4265426	0.5515074	0.9916137	0.2480635	0.8025448	0.5502166	0.5133804	0.1861138	0.9910964
850	0.1072073	0.4263955	0.5516098	0.9904919	0.2449933	0.8025687	0.5154685	0.5140000	0.1863173	0.9938465
900	0.1070587	0.4264633	0.5516633	0.9898618	0.2441187	0.8025918	0.4994177	0.5142678	0.1864004	0.9950409
950	0.1069941	0.4265788	0.5516762	0.9895496	0.2439602	0.8026077	0.4930155	0.5143829	0.1864335	0.9955304
1000	0.1069814	0.4266673	0.5516679	0.9894109	0.2439900	0.8026152	0.4908934	0.5144323	0.1864460	0.9957200
