"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.2824016	0.0467310	0.5369707	0.9055270	0.0923614	0.2755129	0.9429188	0.2858468	0.2888954	0.0835921
50	0.1412076	0.2851547	0.3283310	0.5698155	0.0143741	0.0887664	0.9177228	0.4081002	0.2581769	0.0817286
100	0.1775491	0.5290216	0.2603408	0.4532654	0.0054255	0.0406247	0.8429664	0.3665661	0.1703246	0.3857596
150	0.3421831	0.4357253	0.2680636	0.2900370	0.0072745	0.0204629	0.9262190	0.4462946	0.0831510	0.5882549
200	0.4100050	0.5345802	0.3354480	0.2121708	0.0065160	0.0101127	0.6401582	0.5391949	0.0457372	0.6225397
250	0.4622473	0.4541948	0.4513368	0.2498250	0.0096836	0.0410002	0.5442716	0.4333473	0.0208166	0.5502307
300	0.4006499	0.6272105	0.4156461	0.3456190	0.0216882	0.1018456	0.5333621	0.5050956	0.0312469	0.5648428
350	0.4544470	0.5814867	0.3422216	0.3156120	0.0277892	0.0850342	0.7612239	0.4265278	0.0418290	0.4886298
400	0.4555388	0.6132452	0.3629975	0.5172258	0.1058465	0.0486500	0.8541571	0.4915996	0.0260412	0.5051515
450	0.4634159	0.5873062	0.5185961	0.6214441	0.1093276	0.0197557	0.8365183	0.3517179	0.0328055	0.5344939
500	0.3039043	0.5679504	0.4462780	0.6140238	0.1650087	0.0163365	0.7018246	0.4047584	0.0305372	0.2583789
550	0.1872102	0.4146536	0.4872322	0.9485527	0.1486240	0.1873527	0.9848994	0.2975701	0.0763785	0.0725061
600	0.1640080	0.1179937	0.6488555	0.8979941	0.0963842	0.1894402	1.0275144	0.2797952	0.1935862	0.0560798
650	0.1343192	0.0877872	0.6902627	1.1166045	0.0997863	0.2010730	0.9382850	0.3021714	0.3111244	0.0544098
700	0.1862408	0.0651504	0.5330328	1.0686614	0.1274881	0.1798769	0.9134099	0.3480978	0.3627007	0.0407283
750	0.1765463	0.0484610	0.4896192	1.0270183	0.0644318	0.2816545	0.9940302	0.2756874	0.2517139	0.1410704
800	0.1678738	0.0500153	0.4560911	0.8752525	0.1591679	0.2340372	0.9262863	0.3414368	0.2047878	0.0275760
850	0.2355142	0.0547942	0.4995856	0.8710395	0.0272043	0.2874273	1.0516030	0.3300183	0.4126545	0.0458854
900	0.2505369	0.0488754	0.5079799	0.8423306	0.0294777	0.2677541	0.8700969	0.3126624	0.3855973	0.1041399
950	0.1882700	0.0534701	0.4815029	0.8217950	0.0836096	0.2365377	0.8988944	0.2465564	0.3121225	0.0675977
1000	0.2397882	0.0282944	0.4517394	0.9086127	0.0804422	0.1968624	0.9583736	0.2918971	0.1933575	0.0657847
