"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	1.2112722	0.4290723	0.9653694	0.9873930	1.0603257	0.4329039	0.9686455	1.1135177	0.4580287	0.8654052
50	0.5133757	0.3886347	0.9314765	1.1041877	0.1129179	0.5151755	1.0119937	0.8856342	0.5793901	0.6430253
100	0.4473598	0.1676230	0.9221189	1.0849609	0.0887839	0.5506249	1.0747379	1.0884287	0.4859783	0.6241165
150	0.5087462	0.1249591	1.0271015	1.0242429	0.1320295	0.3668826	1.0880463	1.1859873	0.4525058	0.6507630
200	0.4141464	0.1198580	1.2217533	1.1610677	0.0852911	0.3745350	1.0946718	0.8701253	0.3811356	0.5474950
250	0.4615843	0.1045774	0.9518084	1.0121434	0.0572900	0.5115503	1.0229256	0.9511931	0.5233670	0.6542438
300	0.4387141	0.0676349	0.9887540	1.1003149	0.0939862	0.5200423	0.9491879	0.9808756	0.4139469	0.6764063
350	0.3119838	0.0670976	1.1422845	0.7893331	0.0640424	0.4640212	1.0373393	0.8366500	0.4136478	0.7129280
400	0.4220583	0.0936782	1.1287532	1.0223717	0.1357148	0.4092882	0.9476211	0.9957032	0.5354171	0.5761454
450	0.4708110	0.0664903	1.2524956	1.0259975	0.0741776	0.5680747	0.9959077	1.0024976	0.3667234	0.6959505
500	0.3423551	0.0782442	0.9891092	1.1810265	0.1035492	0.4909256	1.1065776	1.0815145	0.3681771	0.7370758
550	0.7405649	0.2087150	1.1358857	1.1072268	1.1413872	0.6694091	1.0818529	0.9911993	0.4988475	0.8961138
600	0.9858144	0.3639743	0.9122559	1.0609691	0.9818799	0.5000197	1.0372462	0.8931099	0.5248414	0.9144728
650	0.9489370	0.4647924	0.9673020	1.0488042	0.9733775	0.6524004	1.2281117	1.0395373	0.4949560	1.1921026
700	0.9026240	0.3708523	1.1958407	0.9746679	1.0981950	0.6004710	0.9905632	0.9228844	0.4466282	1.0425587
750	0.9462586	0.4343758	1.0801098	0.9115497	1.1120921	0.4549987	0.9322204	1.0873643	0.5114816	1.1134857
800	1.1143543	0.6683059	0.8967208	0.9718257	1.1334546	0.4582959	0.9580280	1.0729130	0.3805088	1.0300842
850	0.9603353	0.4200704	1.0015975	0.8652762	1.0349687	0.6356369	1.0829221	1.2028890	0.4900872	1.2076710
900	0.7417730	0.4865168	1.0731785	0.8407126	1.0794376	0.4793838	1.0365737	1.0287669	0.5604704	1.0801094
950	0.9973844	0.4955737	0.9131167	1.0267499	1.0069530	0.5825468	0.9501874	0.9516178	0.5776871	0.9682726
1000	0.7828404	0.6094638	0.9030983	1.0196542	0.9514941	0.7210963	1.1799358	1.0366570	0.6770061	0.7412336
