"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	1.0884157	0.4636924	1.0299974	0.9959660	1.0314921	0.5478786	1.0419256	0.9961589	0.5070724	1.0538859
50	0.5763872	0.3681886	0.9775380	0.9979934	0.0817650	0.5495043	0.9830975	0.9424262	0.5809636	0.7170407
100	0.5039411	0.2105162	0.9958547	1.0959768	0.0528011	0.5222522	1.0252314	0.9879343	0.5081545	0.6441385
150	0.4567050	0.1467783	1.0073939	0.9562034	0.0907985	0.4934523	1.0034640	1.0617570	0.4427565	0.6773875
200	0.4069210	0.1084881	1.1024021	1.0675532	0.0736587	0.4767536	1.0033429	0.9904831	0.3958361	0.5846608
250	0.4493416	0.0791571	1.0618661	1.0245157	0.0697964	0.4629581	1.0421911	0.9756374	0.4340164	0.6374519
300	0.4212412	0.0910180	1.0410733	1.0270657	0.0816903	0.4557939	1.0054062	1.0176202	0.4078121	0.6695377
350	0.3741200	0.0763682	1.0896053	0.9481533	0.0770521	0.4925194	0.9981873	0.9321612	0.4265776	0.6766897
400	0.4005003	0.1097152	1.0737887	1.0026183	0.0820657	0.4336756	1.0185634	1.0610541	0.4421989	0.6445267
450	0.4219557	0.0741440	1.0450568	1.0689308	0.0828684	0.4657054	0.9575906	1.0290026	0.3831915	0.7114301
500	0.3946904	0.0803897	1.0614705	1.1400584	0.0784013	0.5242544	0.9384365	1.0776058	0.3433203	0.6895700
550	0.8226877	0.2028478	1.0354662	1.0858547	0.9502889	0.5391668	0.9750967	1.0258958	0.4772843	0.9111834
600	1.0326249	0.3609531	0.9677866	1.1318350	0.8721730	0.5336087	0.9380504	0.9978245	0.5061719	0.9991223
650	1.0283873	0.4526295	0.9355130	1.0599788	0.9607232	0.5719874	1.0343040	0.8920971	0.4794607	1.0141572
700	0.9664983	0.4185688	1.0421623	1.0088366	1.0301237	0.5880777	0.9867669	0.9612832	0.4975512	0.9806144
750	0.9948267	0.4601197	1.0759446	0.9847966	1.0247146	0.5444245	0.9445142	0.9980379	0.5621922	0.9523907
800	0.9923321	0.4145797	0.9620710	0.9622812	1.0128124	0.5703020	0.9854633	1.0347305	0.5307778	1.0725750
850	1.0259947	0.4606314	0.9992405	0.9861863	1.0780079	0.6070836	1.0335798	1.0907675	0.5428825	1.0794675
900	0.9324418	0.4593293	0.9953418	0.9460895	1.0469133	0.5198508	0.9973473	1.0453964	0.5844139	1.1232834
950	1.0493120	0.5849158	0.9788759	0.9762372	0.9940551	0.5855090	1.0329394	1.0665680	0.6074286	1.0376300
1000	0.9329607	0.6007199	0.8679375	1.0013753	0.9671350	0.6379085	1.0397522	1.0140319	0.6916865	0.9681058
