"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	1.1016773	0.4047764	0.9146437	1.0192382	1.0937889	0.5784724	1.0269254	1.0100351	0.5211272	1.0938410
50	0.8000216	0.4116242	1.1063206	0.9523763	0.1692234	0.5976795	0.9780156	1.0425801	0.5555176	0.9313285
100	0.6238344	0.2735880	0.9912901	0.9287953	0.0492877	0.6791316	1.0386144	1.0928515	0.5656837	0.7059346
150	0.5061207	0.1966591	1.0265876	1.0498905	0.0732213	0.5427835	0.9742754	1.1172704	0.4753142	0.6491763
200	0.4206374	0.1060368	1.0543458	0.9818192	0.0627161	0.4866095	0.9411349	1.0688360	0.3833101	0.7176076
250	0.4373393	0.1141386	1.0538529	1.0707191	0.0634312	0.4617970	1.0658499	1.0021470	0.3795397	0.6844948
300	0.5060244	0.0948055	1.1153926	0.8833723	0.0744452	0.4276984	0.9744123	1.0027847	0.4269072	0.6973614
350	0.4230826	0.0887588	0.9373320	1.0089322	0.0728636	0.4967752	1.0447037	0.9024039	0.4548601	0.6542603
400	0.3600254	0.0941225	1.0204386	1.0445974	0.0582297	0.4324330	1.1463194	0.9766704	0.4833491	0.6378640
450	0.3644637	0.1003514	0.9303712	1.0176810	0.0673044	0.3898776	0.9626633	1.0225825	0.3967989	0.6097466
500	0.4076535	0.0959268	0.9535157	1.0840844	0.0604531	0.4238803	0.9918945	1.0850320	0.4040153	0.6566632
550	0.6289709	0.1914976	0.9660335	1.0258035	0.7806001	0.4694552	0.9528377	1.0687278	0.4236773	0.7958932
600	0.8613198	0.3359628	0.9951087	1.0771963	0.8641993	0.5232444	0.9164961	1.0755992	0.5080283	0.9361391
650	0.9500835	0.4383293	0.9331556	1.1158999	0.9433031	0.5381727	0.9472243	0.9738673	0.4924695	0.8986438
700	0.9960643	0.4701489	0.9442392	1.1695710	1.0000188	0.5834437	1.0915125	1.0060710	0.5222073	0.9944932
750	1.0072352	0.4315143	1.0526576	1.1268848	1.0700669	0.5807143	1.0252922	0.9596601	0.4929448	1.0688122
800	1.0394618	0.4402769	1.0682093	1.0284804	1.0086576	0.5392917	1.0859840	1.0341861	0.5356325	1.0724045
850	0.9320339	0.4122710	1.1011533	1.0927657	1.0232100	0.5694007	1.0280313	1.1298129	0.5503025	1.1071198
900	0.9486642	0.5226934	1.0555852	0.8878351	0.9451889	0.5341104	0.9812580	1.2251871	0.5537499	1.0595883
950	0.9870772	0.5113785	0.9780388	0.8970431	0.9419587	0.5778929	1.0264297	1.2446027	0.6386692	1.0591094
1000	0.9518539	0.5762194	0.9454260	0.9158522	0.9474318	0.6493096	1.0147219	1.0731154	0.6935339	1.1135040
