"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	1.2589827	0.3244774	0.9592279	1.0078985	0.9631403	0.5611385	0.9677998	0.9744175	0.5770418	1.0359595
50	0.7803208	0.4262940	1.0344653	1.0986856	0.1541354	0.5886931	0.9276516	0.9611768	0.5815097	1.0418780
100	0.6768937	0.2351560	0.9178494	0.8281476	0.0614124	0.5890842	0.9883060	1.0915153	0.4890913	0.7067463
150	0.5178086	0.2173449	1.0693942	1.1874523	0.0513843	0.5166956	0.9827275	1.1898024	0.4672212	0.6921577
200	0.3353834	0.0883930	0.9783196	0.9336815	0.0508060	0.5181235	0.9695759	1.3082966	0.3624276	0.6550414
250	0.4139837	0.1251412	1.0564071	0.8725339	0.0501630	0.3862412	1.1294000	1.0108774	0.3822127	0.7441272
300	0.5480152	0.1074518	1.1476550	0.8514096	0.0794386	0.4262978	0.8900293	1.1170946	0.3747723	0.6305557
350	0.4595362	0.0645320	0.9765092	0.8327927	0.0510887	0.5464235	1.1428915	1.0714704	0.4780999	0.6301212
400	0.3453796	0.1213826	1.0780053	1.0404825	0.0637981	0.3604741	1.1822240	1.0537266	0.3682181	0.7238963
450	0.3438331	0.1038407	0.9317144	1.1083437	0.1207581	0.4767065	1.0478548	0.9058972	0.3089592	0.5456351
500	0.3655415	0.1034599	0.9662984	0.9672133	0.0748275	0.4585538	0.9625124	0.9488675	0.4279344	0.5807303
550	0.5355716	0.2494974	0.9943849	0.9319342	0.8958561	0.4408672	0.9121883	1.1195375	0.3993553	0.8464211
600	0.8761147	0.2826467	0.9407248	0.9969367	0.8240537	0.5582866	1.0199389	1.0441009	0.5655757	0.8798571
650	0.9778051	0.3990104	0.9170917	0.9882303	0.7651128	0.5955643	0.8440985	1.0138252	0.4207088	0.8242551
700	0.9804071	0.5755461	1.0845337	1.3600122	1.0064211	0.5214537	1.1903451	0.9914336	0.5032687	1.0050368
750	1.0438858	0.4771521	1.0685533	1.1919612	1.0261148	0.5293470	0.9512793	1.1786068	0.4174917	1.0803100
800	0.9041479	0.5283562	1.2166779	0.9961813	1.0383587	0.5294422	1.0075355	0.9529834	0.4961313	0.9801707
850	0.8937039	0.4138240	1.0450924	1.2251769	1.0530463	0.5811339	1.0450784	1.3539614	0.4382646	1.0125772
900	0.9025711	0.5523157	1.0059715	0.9348558	0.9570408	0.4777663	0.9156494	1.1994464	0.6174306	1.0202469
950	0.9462032	0.5187662	1.0830831	1.0819075	0.9805507	0.6175806	0.9230795	1.0779071	0.6716623	1.1519732
1000	1.0968389	0.5278814	0.9690395	0.8495004	0.9177699	0.7220392	0.8833987	1.0458397	0.7771780	1.0935670
